Name,GP,G,A,TP,PPG,PIM,Period,Years,POS,firstYear,lastYear
Wayne Gretzky,1487.0,894.0,1963.0,2857.0,1.921,577.0,1979-1999,20.0,C,1979,1999
Jaromir Jagr,1733.0,766.0,1155.0,1921.0,1.1079999999999999,1167.0,1990-2018,24.0,RW,1990,2018
Mark Messier,1756.0,694.0,1193.0,1887.0,1.075,1910.0,1979-2004,25.0,C,1979,2004
Gordie Howe,1767.0,801.0,1049.0,1850.0,1.047,1685.0,1946-1980,26.0,RW,1946,1980
Ron Francis,1731.0,549.0,1249.0,1798.0,1.0390000000000001,979.0,1981-2004,23.0,C,1981,2004
Marcel Dionne,1348.0,731.0,1040.0,1771.0,1.314,600.0,1971-1989,18.0,C,1971,1989
Steve Yzerman,1514.0,692.0,1063.0,1755.0,1.159,924.0,1983-2006,22.0,C,1983,2006
Mario Lemieux,915.0,690.0,1033.0,1723.0,1.883,834.0,1984-2006,17.0,C,1984,2006
Joe Sakic,1378.0,625.0,1016.0,1641.0,1.1909999999999998,614.0,1988-2009,20.0,C,1988,2009
Phil Esposito,1282.0,717.0,873.0,1590.0,1.24,910.0,1963-1981,18.0,C,1963,1981
Raymond Bourque,1612.0,410.0,1169.0,1579.0,0.98,1141.0,1979-2001,22.0,D,1979,2001
Mark Recchi,1652.0,577.0,956.0,1533.0,0.9279999999999999,1033.0,1988-2011,22.0,RW,1988,2011
Paul Coffey,1409.0,396.0,1135.0,1531.0,1.087,1802.0,1980-2001,21.0,D,1980,2001
Joe Thornton,1636.0,420.0,1089.0,1509.0,0.922,1248.0,1997-2020,22.0,C,1997,2020
Stan Mikita,1394.0,541.0,926.0,1467.0,1.052,1270.0,1958-1980,22.0,C,1958,1980
Teemu Selanne,1451.0,684.0,773.0,1457.0,1.004,660.0,1992-2014,21.0,RW,1992,2014
Bryan Trottier,1279.0,524.0,901.0,1425.0,1.114,912.0,1975-1994,18.0,C,1975,1994
Adam Oates,1337.0,341.0,1079.0,1420.0,1.062,415.0,1985-2004,19.0,C,1985,2004
Doug Gilmour,1474.0,450.0,964.0,1414.0,0.9590000000000001,1299.0,1983-2003,20.0,C,1983,2003
Dale Hawerchuk,1188.0,518.0,891.0,1409.0,1.186,740.0,1981-1997,16.0,C,1981,1997
Jari Kurri,1251.0,601.0,797.0,1398.0,1.1179999999999999,545.0,1980-1998,17.0,RW,1980,1998
Luc Robitaille,1431.0,668.0,726.0,1394.0,0.9740000000000001,1177.0,1986-2006,19.0,LW,1986,2006
Brett Hull,1269.0,741.0,650.0,1391.0,1.0959999999999999,457.0,1985-2006,20.0,RW,1985,2006
Mike Modano,1499.0,561.0,813.0,1374.0,0.917,926.0,1988-2011,22.0,C,1988,2011
Johnny Bucyk,1540.0,556.0,813.0,1369.0,0.889,497.0,1955-1978,23.0,LW,1955,1978
Brendan Shanahan,1524.0,656.0,698.0,1354.0,0.888,2489.0,1987-2009,21.0,LW,1987,2009
Guy Lafleur,1126.0,560.0,793.0,1353.0,1.202,399.0,1971-1991,17.0,RW,1971,1991
Mats Sundin,1346.0,564.0,785.0,1349.0,1.002,1093.0,1990-2009,18.0,C,1990,2009
Dave Andreychuk,1639.0,640.0,698.0,1338.0,0.816,1125.0,1982-2006,23.0,LW,1982,2006
Denis Savard,1196.0,473.0,865.0,1338.0,1.119,1336.0,1980-1997,17.0,C,1980,1997
Mike Gartner,1432.0,708.0,627.0,1335.0,0.932,1159.0,1979-1998,19.0,RW,1979,1998
Pierre Turgeon,1294.0,515.0,812.0,1327.0,1.026,452.0,1987-2007,19.0,C,1987,2007
Gilbert Perreault,1191.0,512.0,814.0,1326.0,1.113,500.0,1970-1987,17.0,C,1970,1987
Jarome Iginla,1554.0,625.0,675.0,1300.0,0.8370000000000001,1040.0,1995-2017,21.0,RW,1995,2017
Alex Delvecchio,1550.0,456.0,825.0,1281.0,0.826,383.0,1950-1974,24.0,C,1950,1974
Alexander Ovechkin,1152.0,706.0,572.0,1278.0,1.109,719.0,2005-2021,16.0,LW,2005,2021
Al MacInnis,1416.0,340.0,934.0,1274.0,0.9,1511.0,1981-2004,23.0,D,1981,2004
Jean Ratelle,1281.0,491.0,776.0,1267.0,0.9890000000000001,276.0,1960-1981,21.0,C,1960,1981
Sidney Crosby,984.0,462.0,801.0,1263.0,1.284,673.0,2005-2021,16.0,C,2005,2021
Peter Stastny,977.0,450.0,789.0,1239.0,1.268,824.0,1980-1995,15.0,C,1980,1995
Phil Housley,1495.0,338.0,894.0,1232.0,0.8240000000000001,822.0,1982-2003,21.0,D,1982,2003
Norm Ullman,1410.0,490.0,739.0,1229.0,0.872,712.0,1955-1975,20.0,C,1955,1975
Jean Béliveau,1125.0,507.0,712.0,1219.0,1.084,1029.0,1950-1971,20.0,C,1950,1971
Jeremy Roenick,1363.0,513.0,703.0,1216.0,0.892,1463.0,1988-2009,20.0,C,1988,2009
Larry Murphy,1615.0,287.0,929.0,1216.0,0.753,1084.0,1980-2001,21.0,D,1980,2001
Bobby Clarke,1144.0,358.0,852.0,1210.0,1.058,1453.0,1969-1984,15.0,C,1969,1984
Bernie Nicholls,1127.0,475.0,734.0,1209.0,1.073,1292.0,1981-1999,18.0,C,1981,1999
Vincent Damphousse,1378.0,432.0,783.0,1205.0,0.8740000000000001,1190.0,1986-2004,18.0,C,1986,2004
Dino Ciccarelli,1232.0,608.0,592.0,1200.0,0.9740000000000001,1425.0,1980-1999,19.0,RW,1980,1999
Patrick Marleau,1723.0,562.0,626.0,1188.0,0.6890000000000001,517.0,1997-2021,23.0,LW,1997,2021
Rod Brind'Amour,1484.0,452.0,732.0,1184.0,0.7979999999999999,1100.0,1988-2010,21.0,C,1988,2010
Sergei Fedorov,1248.0,483.0,696.0,1179.0,0.945,839.0,1990-2009,18.0,C,1990,2009
Bobby Hull,1063.0,610.0,560.0,1170.0,1.101,640.0,1957-1980,16.0,LW,1957,1980
Daniel Alfredsson,1246.0,444.0,713.0,1157.0,0.929,510.0,1995-2014,18.0,RW,1995,2014
Michel Goulet,1089.0,548.0,604.0,1152.0,1.058,825.0,1979-1994,15.0,LW,1979,1994
Nicklas Lidstrom,1564.0,264.0,878.0,1142.0,0.73,514.0,1991-2012,20.0,D,1991,2012
Marian Hossa,1309.0,525.0,609.0,1134.0,0.866,628.0,1997-2021,23.0,RW,1997,2021
Bernie Federko,1000.0,369.0,761.0,1130.0,1.13,487.0,1976-1990,14.0,C,1976,1990
Mike Bossy,752.0,573.0,553.0,1126.0,1.4969999999999999,222.0,1977-1987,10.0,RW,1977,1987
Joe Nieuwendyk,1257.0,564.0,562.0,1126.0,0.8959999999999999,677.0,1986-2007,20.0,C,1986,2007
Darryl Sittler,1096.0,484.0,637.0,1121.0,1.023,948.0,1970-1985,15.0,C,1970,1985
Frank Mahovlich,1181.0,533.0,570.0,1103.0,0.934,1056.0,1956-1974,18.0,LW,1956,1974
Glenn Anderson,1129.0,498.0,601.0,1099.0,0.973,1120.0,1980-1996,16.0,RW,1980,1996
Theo Fleury,1084.0,455.0,633.0,1088.0,1.004,1840.0,1988-2003,15.0,RW,1988,2003
Yevgeni Malkin,907.0,416.0,660.0,1076.0,1.186,960.0,2006-2021,15.0,C,2006,2021
Henrik Sedin,1330.0,240.0,830.0,1070.0,0.805,680.0,2000-2018,17.0,C,2000,2018
Dave Taylor,1111.0,431.0,638.0,1069.0,0.9620000000000001,1589.0,1977-1994,17.0,RW,1977,1994
Keith Tkachuk,1201.0,538.0,527.0,1065.0,0.887,2219.0,1991-2010,18.0,LW,1991,2010
Ray Whitney,1330.0,385.0,679.0,1064.0,0.8,465.0,1991-2014,22.0,LW,1991,2014
Pat Verbeek,1424.0,521.0,541.0,1063.0,0.746,2905.0,1982-2002,20.0,RW,1982,2002
Joe Mullen,1062.0,502.0,561.0,1063.0,1.001,241.0,1979-1997,17.0,RW,1979,1997
Denis Potvin,1060.0,310.0,742.0,1052.0,0.992,1356.0,1973-1988,15.0,D,1973,1988
Henri Richard,1256.0,358.0,688.0,1046.0,0.833,928.0,1955-1975,20.0,C,1955,1975
Daniel Sedin,1306.0,393.0,648.0,1041.0,0.797,546.0,2000-2018,17.0,LW,2000,2018
Bobby Smith,1077.0,357.0,679.0,1036.0,0.9620000000000001,917.0,1978-1993,15.0,C,1978,1993
Martin St. Louis,1134.0,391.0,642.0,1033.0,0.9109999999999999,310.0,1998-2015,16.0,RW,1998,2015
Doug Weight,1238.0,278.0,755.0,1033.0,0.8340000000000001,970.0,1990-2011,20.0,C,1990,2011
Alexander Mogilny,990.0,473.0,559.0,1032.0,1.042,432.0,1989-2006,16.0,RW,1989,2006
Alexei Kovalev,1316.0,430.0,599.0,1029.0,0.782,1304.0,1992-2013,19.0,RW,1992,2013
Brian Leetch,1205.0,247.0,781.0,1028.0,0.853,571.0,1987-2006,18.0,D,1987,2006
Patrik Elias,1240.0,408.0,617.0,1025.0,0.8270000000000001,549.0,1995-2016,20.0,LW,1995,2016
Brian Bellows,1188.0,485.0,537.0,1022.0,0.86,718.0,1982-1999,17.0,RW,1982,1999
Patrick Kane,973.0,389.0,633.0,1022.0,1.05,378.0,2007-2021,14.0,RW,2007,2021
Eric Staal,1240.0,436.0,585.0,1021.0,0.823,818.0,2003-2021,17.0,C,2003,2021
Rod Gilbert,1065.0,406.0,615.0,1021.0,0.9590000000000001,508.0,1960-1978,18.0,RW,1960,1978
Dale Hunter,1409.0,323.0,697.0,1020.0,0.7240000000000001,3565.0,1980-1999,19.0,RW,1980,1999
Pat LaFontaine,865.0,468.0,545.0,1013.0,1.171,552.0,1983-1998,15.0,C,1983,1998
Steve Larmer,1006.0,441.0,571.0,1012.0,1.006,532.0,1980-1995,15.0,RW,1980,1995
Lanny McDonald,1111.0,500.0,506.0,1006.0,0.905,899.0,1973-1989,16.0,RW,1973,1989
Brian Propp,1016.0,425.0,579.0,1004.0,0.988,830.0,1979-1994,15.0,LW,1979,1994
Paul Kariya,989.0,402.0,587.0,989.0,1.0,399.0,1994-2010,15.0,LW,1994,2010
Rick Middleton,1005.0,448.0,540.0,988.0,0.983,157.0,1974-1988,14.0,RW,1974,1988
Dave Keon,1296.0,396.0,590.0,986.0,0.7609999999999999,117.0,1960-1982,18.0,C,1960,1982
Andy Bathgate,1069.0,349.0,624.0,973.0,0.91,624.0,1952-1971,17.0,C/RW,1952,1971
Shane Doan,1540.0,402.0,570.0,972.0,0.631,1353.0,1995-2017,21.0,RW,1995,2017
Maurice Richard,978.0,544.0,422.0,966.0,0.988,1285.0,1942-1960,18.0,RW,1942,1960
Ryan Getzlaf,1053.0,274.0,691.0,965.0,0.9159999999999999,888.0,2005-2021,16.0,C,2005,2021
Henrik Zetterberg,1082.0,337.0,623.0,960.0,0.887,401.0,2002-2021,18.0,C,2002,2021
Kirk Muller,1349.0,357.0,602.0,959.0,0.711,1223.0,1984-2003,19.0,C,1984,2003
Larry Robinson,1384.0,208.0,750.0,958.0,0.6920000000000001,793.0,1972-1992,20.0,D,1972,1992
Rick Tocchet,1144.0,440.0,512.0,952.0,0.8320000000000001,2912.0,1984-2002,18.0,RW,1984,2002
Anze Kopitar,1073.0,333.0,617.0,950.0,0.885,294.0,2006-2021,15.0,C,2006,2021
Vincent Lecavalier,1212.0,421.0,528.0,949.0,0.7829999999999999,848.0,1998-2016,17.0,C,1998,2016
Chris Chelios,1651.0,185.0,763.0,948.0,0.574,2891.0,1983-2010,26.0,D,1983,2010
Jason Spezza,1123.0,341.0,599.0,940.0,0.8370000000000001,572.0,2002-2021,18.0,C,2002,2021
Jason Arnott,1244.0,417.0,521.0,938.0,0.754,1242.0,1993-2012,18.0,C,1993,2012
Steve Thomas,1235.0,421.0,512.0,933.0,0.755,1306.0,1984-2004,20.0,RW,1984,2004
Brad Richards,1126.0,298.0,634.0,932.0,0.828,251.0,2000-2016,15.0,C,2000,2016
Nicklas Backstrom,956.0,243.0,684.0,927.0,0.97,462.0,2007-2021,14.0,C,2007,2021
Neal Broten,1099.0,289.0,634.0,923.0,0.84,569.0,1980-1997,17.0,C,1980,1997
Pavel Datsyuk,953.0,314.0,604.0,918.0,0.963,232.0,2001-2016,14.0,C,2001,2016
Bobby Orr,657.0,270.0,645.0,915.0,1.393,953.0,1966-1979,12.0,D,1966,1979
Gary Roberts,1225.0,438.0,472.0,910.0,0.743,2560.0,1986-2009,21.0,LW,1986,2009
Scott Stevens,1635.0,196.0,712.0,908.0,0.555,2785.0,1982-2004,22.0,D,1982,2004
Tony Amonte,1174.0,416.0,484.0,900.0,0.767,752.0,1990-2007,16.0,RW,1990,2007
Ray Ferraro,1258.0,408.0,490.0,898.0,0.7140000000000001,1288.0,1984-2002,18.0,C,1984,2002
Brad Park,1113.0,213.0,683.0,896.0,0.805,1429.0,1968-1985,17.0,D,1968,1985
Peter Bondra,1081.0,503.0,389.0,892.0,0.825,761.0,1990-2007,16.0,RW,1990,2007
Butch Goring,1107.0,375.0,513.0,888.0,0.802,102.0,1969-1985,16.0,C,1969,1985
Owen Nolan,1200.0,422.0,463.0,885.0,0.738,1793.0,1990-2010,18.0,RW,1990,2010
Peter Forsberg,708.0,249.0,636.0,885.0,1.25,688.0,1994-2011,14.0,C,1994,2011
Bill Barber,903.0,420.0,463.0,883.0,0.978,623.0,1972-1984,12.0,LW,1972,1984
Dennis Maruk,888.0,356.0,522.0,878.0,0.9890000000000001,761.0,1975-1989,14.0,C,1975,1989
Ilya Kovalchuk,926.0,443.0,433.0,876.0,0.946,544.0,2001-2020,13.0,LW/RW,2001,2020
Markus Naslund,1117.0,395.0,474.0,869.0,0.778,736.0,1993-2009,15.0,LW,1993,2009
Patrice Bergeron,1089.0,352.0,517.0,869.0,0.7979999999999999,424.0,2003-2021,17.0,C,2003,2021
Cliff Ronning,1137.0,306.0,563.0,869.0,0.764,453.0,1985-2004,18.0,C,1985,2004
Trevor Linden,1372.0,375.0,492.0,867.0,0.632,895.0,1988-2008,19.0,C,1988,2008
Ivan Boldirev,1052.0,361.0,505.0,866.0,0.823,507.0,1970-1985,15.0,C,1970,1985
Eric Lindros,760.0,372.0,493.0,865.0,1.138,1398.0,1992-2007,13.0,C,1992,2007
Yvan Cournoyer,968.0,428.0,435.0,863.0,0.892,255.0,1963-1979,16.0,RW,1963,1979
Alex Tanguay,1088.0,283.0,580.0,863.0,0.7929999999999999,527.0,1999-2016,16.0,LW,1999,2016
Phil Kessel,1066.0,371.0,490.0,861.0,0.8079999999999999,320.0,2006-2021,15.0,RW,2006,2021
Dean Prentice,1378.0,391.0,469.0,860.0,0.624,484.0,1952-1974,22.0,LW,1952,1974
Tomas Sandstrom,983.0,394.0,463.0,857.0,0.872,1193.0,1984-1999,15.0,RW,1984,1999
Bill Guerin,1263.0,429.0,427.0,856.0,0.6779999999999999,1660.0,1991-2010,18.0,RW,1991,2010
Vyacheslav Kozlov,1182.0,356.0,497.0,853.0,0.722,704.0,1991-2010,18.0,LW,1991,2010
Ted Lindsay,1068.0,379.0,472.0,851.0,0.797,1808.0,1944-1965,17.0,LW,1944,1965
Gary Suter,1145.0,203.0,641.0,844.0,0.737,1349.0,1985-2002,17.0,D,1985,2002
Tom Lysiak,919.0,292.0,551.0,843.0,0.917,567.0,1973-1986,13.0,C,1973,1986
John MacLean,1194.0,413.0,429.0,842.0,0.705,1328.0,1983-2002,18.0,RW,1983,2002
Ryan Smyth,1270.0,386.0,456.0,842.0,0.6629999999999999,976.0,1994-2014,19.0,LW,1994,2014
Scott Mellanby,1431.0,364.0,476.0,840.0,0.5870000000000001,2479.0,1985-2007,21.0,RW,1985,2007
John Tonelli,1028.0,325.0,511.0,836.0,0.813,911.0,1978-1992,14.0,LW,1978,1992
Jacques Lemaire,853.0,366.0,469.0,835.0,0.9790000000000001,217.0,1967-1979,12.0,C,1967,1979
Steven Stamkos,803.0,422.0,410.0,832.0,1.036,499.0,2008-2021,13.0,C/W,2008,2021
Saku Koivu,1124.0,255.0,577.0,832.0,0.74,809.0,1995-2014,18.0,C,1995,2014
Brent Sutter,1111.0,363.0,466.0,829.0,0.746,1054.0,1980-1998,18.0,C,1980,1998
John Ogrodnick,928.0,402.0,425.0,827.0,0.8909999999999999,260.0,1979-1993,14.0,LW,1979,1993
Doug Wilson,1024.0,237.0,590.0,827.0,0.8079999999999999,830.0,1977-1993,16.0,D,1977,1993
Red Kelly,1316.0,281.0,542.0,823.0,0.625,327.0,1947-1967,20.0,D/C,1947,1967
Pierre Larouche,812.0,395.0,427.0,822.0,1.012,237.0,1974-1988,14.0,C,1974,1988
Bernard Geoffrion,883.0,393.0,429.0,822.0,0.9309999999999999,689.0,1950-1968,16.0,RW,1950,1968
Stéphane Richer,1054.0,421.0,398.0,819.0,0.777,614.0,1984-2002,17.0,LW,1984,2002
John LeClair,967.0,406.0,413.0,819.0,0.847,501.0,1990-2007,16.0,LW,1990,2007
Steve Shutt,930.0,424.0,393.0,817.0,0.878,410.0,1972-1985,13.0,LW,1972,1985
Thomas Steen,950.0,264.0,553.0,817.0,0.86,753.0,1981-1995,14.0,C,1981,1995
Marian Gaborik,1035.0,407.0,408.0,815.0,0.787,492.0,2000-2021,20.0,RW/LW,2000,2021
Jonathan Toews,943.0,345.0,470.0,815.0,0.8640000000000001,525.0,2007-2021,14.0,C,2007,2021
Claude Giroux,890.0,257.0,558.0,815.0,0.9159999999999999,380.0,2007-2021,14.0,C/W,2007,2021
Wilf Paiement,946.0,356.0,458.0,814.0,0.86,1757.0,1974-1988,14.0,RW,1974,1988
Peter McNab,954.0,363.0,450.0,813.0,0.852,179.0,1973-1987,14.0,C,1973,1987
Sergei Gonchar,1301.0,220.0,591.0,811.0,0.623,981.0,1994-2015,20.0,D,1994,2015
Pit Martin,1101.0,324.0,485.0,809.0,0.735,609.0,1961-1979,17.0,C,1961,1979
Ken Linseman,860.0,256.0,551.0,807.0,0.938,1727.0,1978-1992,14.0,LW,1978,1992
Rick Nash,1060.0,437.0,368.0,805.0,0.759,750.0,2002-2018,15.0,LW/RW,2002,2018
Milan Hejduk,1020.0,375.0,430.0,805.0,0.789,316.0,1998-2013,14.0,RW,1998,2013
Garry Unger,1105.0,413.0,391.0,804.0,0.728,1075.0,1967-1983,16.0,C,1967,1983
Ken Hodge,881.0,328.0,472.0,800.0,0.9079999999999999,779.0,1964-1978,14.0,RW,1964,1978
Geoff Courtnall,1049.0,367.0,432.0,799.0,0.762,1465.0,1983-2000,17.0,LW,1983,2000
Corey Perry,1045.0,377.0,420.0,797.0,0.763,1180.0,2005-2020,15.0,RW,2005,2020
Justin Williams,1264.0,320.0,477.0,797.0,0.631,766.0,2000-2020,19.0,RW,2000,2020
Ed Olczyk,1031.0,342.0,452.0,794.0,0.77,874.0,1984-2000,16.0,C,1984,2000
Wayne Cashman,1027.0,277.0,516.0,793.0,0.772,1041.0,1964-1983,17.0,RW,1964,1983
Mike Ribeiro,1074.0,228.0,565.0,793.0,0.738,577.0,1999-2017,17.0,C,1999,2017
Zach Parise,1015.0,386.0,406.0,792.0,0.78,378.0,2005-2021,16.0,LW/RW,2005,2021
Joe Pavelski,1030.0,369.0,423.0,792.0,0.769,400.0,2006-2021,15.0,C/RW,2006,2021
Dany Heatley,869.0,372.0,419.0,791.0,0.91,620.0,2001-2015,13.0,LW/RW,2001,2015
Thomas Vanek,1029.0,373.0,416.0,789.0,0.767,547.0,2005-2019,14.0,LW/RW,2005,2019
Rick Vaive,876.0,441.0,347.0,788.0,0.9,1445.0,1979-1992,13.0,RW,1979,1992
Borje Salming,1148.0,150.0,637.0,787.0,0.6859999999999999,1344.0,1973-1990,17.0,D,1973,1990
Claude Lemieux,1215.0,369.0,407.0,786.0,0.647,1777.0,1983-2009,21.0,RW,1983,2009
Alexei Yashin,850.0,337.0,444.0,781.0,0.919,401.0,1993-2007,12.0,C,1993,2007
Pavel Bure,702.0,437.0,342.0,779.0,1.11,484.0,1991-2003,12.0,RW,1991,2003
Rob Blake,1270.0,240.0,537.0,777.0,0.612,1679.0,1989-2010,20.0,D,1989,2010
Jean Pronovost,998.0,391.0,383.0,774.0,0.7759999999999999,413.0,1968-1982,14.0,RW,1968,1982
Dave Christian,1009.0,340.0,433.0,773.0,0.7659999999999999,284.0,1979-1994,15.0,RW,1979,1994
Pete Mahovlich,884.0,288.0,485.0,773.0,0.8740000000000001,916.0,1965-1981,16.0,LW,1965,1981
Sergei Zubov,1068.0,152.0,619.0,771.0,0.722,337.0,1992-2009,16.0,D,1992,2009
Todd Bertuzzi,1159.0,314.0,456.0,770.0,0.664,1478.0,1995-2014,18.0,RW,1995,2014
John Tavares,814.0,345.0,424.0,769.0,0.945,365.0,2009-2021,12.0,C,2009,2021
Pavol Demitra,848.0,304.0,464.0,768.0,0.9059999999999999,284.0,1993-2010,16.0,C,1993,2010
Rick Kehoe,906.0,371.0,396.0,767.0,0.847,120.0,1971-1985,14.0,RW,1971,1985
Vaclav Prospal,1108.0,255.0,510.0,765.0,0.69,581.0,1996-2013,16.0,LW/C,1996,2013
Brian Rolston,1256.0,342.0,419.0,761.0,0.606,472.0,1994-2012,17.0,LW,1994,2012
Blake Wheeler,931.0,264.0,497.0,761.0,0.8170000000000001,609.0,2008-2021,13.0,RW/C,2008,2021
Kevin Dineen,1188.0,355.0,405.0,760.0,0.64,2229.0,1984-2003,19.0,RW,1984,2003
Rick MacLeish,846.0,349.0,410.0,759.0,0.897,434.0,1970-1984,14.0,LW,1970,1984
Murray Craven,1071.0,266.0,493.0,759.0,0.7090000000000001,524.0,1982-2000,18.0,C,1982,2000
Mike Ridley,866.0,292.0,466.0,758.0,0.875,424.0,1985-1997,12.0,C,1985,1997
Scott Young,1181.0,342.0,415.0,757.0,0.6409999999999999,448.0,1987-2006,17.0,RW,1987,2006
Scott Gomez,1079.0,181.0,575.0,756.0,0.701,655.0,1999-2016,16.0,C,1999,2016
Steve Duchesne,1113.0,227.0,526.0,752.0,0.6759999999999999,824.0,1986-2002,16.0,D,1986,2002
Craig Janney,760.0,188.0,563.0,751.0,0.988,170.0,1987-1999,12.0,C,1987,1999
Olli Jokinen,1231.0,321.0,429.0,750.0,0.609,1071.0,1997-2015,17.0,C,1997,2015
Bobby Holik,1314.0,326.0,421.0,747.0,0.568,1421.0,1990-2009,18.0,C,1990,2009
Steve Sullivan,1011.0,290.0,457.0,747.0,0.7390000000000001,587.0,1995-2013,16.0,LW,1995,2013
Russ Courtnall,1029.0,297.0,447.0,744.0,0.723,557.0,1983-1999,16.0,RW,1983,1999
Mathieu Schneider,1289.0,223.0,521.0,744.0,0.5770000000000001,1250.0,1987-2010,21.0,D,1987,2010
Greg Adams,1056.0,355.0,388.0,743.0,0.7040000000000001,326.0,1984-2001,17.0,LW,1984,2001
Mark Howe,929.0,197.0,545.0,742.0,0.799,455.0,1979-1995,16.0,D,1979,1995
Scott Niedermayer,1263.0,172.0,574.0,740.0,0.586,784.0,1991-2010,18.0,D,1991,2010
Miroslav Satan,1050.0,363.0,372.0,735.0,0.7,464.0,1995-2010,14.0,RW,1995,2010
Andrew Brunette,1109.0,268.0,465.0,733.0,0.6609999999999999,314.0,1995-2012,16.0,LW,1995,2012
Jeff Carter,1040.0,382.0,350.0,732.0,0.7040000000000001,533.0,2005-2021,16.0,C,2005,2021
Andrew Cassels,1015.0,204.0,528.0,732.0,0.721,410.0,1989-2006,16.0,C,1989,2006
Matt Cullen,1516.0,266.0,465.0,731.0,0.48200000000000004,592.0,1997-2019,21.0,C,1997,2019
Bobby Carpenter,1178.0,320.0,408.0,728.0,0.618,919.0,1981-1999,18.0,C,1981,1999
Murray Oliver,1127.0,274.0,454.0,728.0,0.6459999999999999,320.0,1957-1975,17.0,C,1957,1975
Mike Foligno,1018.0,355.0,372.0,727.0,0.7140000000000001,2045.0,1979-1994,15.0,RW,1979,1994
Jason Pominville,1060.0,293.0,434.0,727.0,0.6859999999999999,199.0,2003-2019,15.0,RW,2003,2019
Cory Stillman,1025.0,278.0,449.0,727.0,0.7090000000000001,489.0,1994-2011,16.0,LW,1994,2011
Kevin Stevens,874.0,329.0,397.0,726.0,0.831,1470.0,1987-2002,15.0,LW,1987,2002
Bob Nevin,1128.0,307.0,419.0,726.0,0.644,211.0,1957-1976,18.0,RW,1957,1976
Paul Stastny,945.0,250.0,476.0,726.0,0.768,438.0,2006-2021,15.0,C,2006,2021
Dave Babych,1194.0,142.0,581.0,723.0,0.606,970.0,1980-1999,19.0,D,1980,1999
Petr Sykora,1017.0,323.0,398.0,721.0,0.7090000000000001,433.0,1995-2012,15.0,RW,1995,2012
Dave Gagner,946.0,318.0,401.0,719.0,0.76,1016.0,1984-1999,15.0,C,1984,1999
Alexei Zhamnov,807.0,249.0,470.0,719.0,0.8909999999999999,668.0,1992-2006,13.0,C,1992,2006
Petr Nedved,982.0,310.0,407.0,717.0,0.73,708.0,1990-2007,15.0,C,1990,2007
Martin Straka,954.0,257.0,460.0,717.0,0.752,360.0,1992-2008,15.0,C,1992,2008
Zigmund Palffy,684.0,329.0,384.0,713.0,1.042,322.0,1993-2006,12.0,RW,1993,2006
George Armstrong,1187.0,296.0,417.0,713.0,0.601,721.0,1949-1971,21.0,C,1949,1971
Vic Hadfield,1002.0,323.0,389.0,712.0,0.711,1154.0,1961-1977,16.0,LW,1961,1977
Charlie Simmer,712.0,342.0,369.0,711.0,0.9990000000000001,544.0,1974-1988,14.0,LW,1974,1988
Doug Mohns,1390.0,248.0,462.0,710.0,0.511,1250.0,1953-1975,22.0,LW/D,1953,1975
Mikko Koivu,1028.0,205.0,504.0,709.0,0.69,592.0,2005-2021,16.0,C,2005,2021
Scott Hartnell,1249.0,327.0,380.0,707.0,0.5660000000000001,1809.0,2000-2018,17.0,LW,2000,2018
Marc Savard,807.0,207.0,499.0,706.0,0.875,737.0,1997-2017,19.0,C,1997,2017
Robert Lang,989.0,261.0,442.0,703.0,0.711,424.0,1992-2010,16.0,C,1992,2010
Bobby Rousseau,942.0,245.0,458.0,703.0,0.746,359.0,1960-1975,15.0,RW,1960,1975
René Robert,744.0,284.0,418.0,702.0,0.9440000000000001,597.0,1970-1982,12.0,C,1970,1982
Rick Martin,685.0,384.0,317.0,701.0,1.023,477.0,1971-1982,11.0,LW,1971,1982
Mel Bridgman,977.0,252.0,449.0,701.0,0.718,1625.0,1975-1989,14.0,C,1975,1989
Geoff Sanderson,1104.0,355.0,345.0,700.0,0.634,511.0,1990-2008,17.0,LW,1990,2008
Chris Pronger,1167.0,157.0,541.0,698.0,0.598,1590.0,1993-2012,18.0,D,1993,2012
Clark Gillies,958.0,319.0,378.0,697.0,0.728,1023.0,1974-1988,14.0,LW,1974,1988
Daniel Briere,973.0,307.0,389.0,696.0,0.715,744.0,1997-2015,17.0,C,1997,2015
Jakub Voracek,915.0,207.0,488.0,695.0,0.76,463.0,2008-2021,13.0,RW/LW,2008,2021
Cam Neely,726.0,395.0,299.0,694.0,0.956,1241.0,1983-1996,13.0,RW,1983,1996
Mike Bullard,755.0,336.0,358.0,694.0,0.919,741.0,1980-1992,11.0,LW,1980,1992
Brent Burns,1113.0,210.0,484.0,694.0,0.624,685.0,2003-2021,17.0,D,2003,2021
Shayne Corson,1156.0,273.0,420.0,693.0,0.599,2357.0,1985-2004,19.0,LW,1985,2004
Jamie Benn,814.0,300.0,388.0,688.0,0.845,613.0,2009-2021,12.0,LW/C,2009,2021
Kent Nilsson,553.0,264.0,422.0,686.0,1.2409999999999999,116.0,1979-1995,9.0,C,1979,1995
David Krejci,911.0,207.0,479.0,686.0,0.753,323.0,2006-2021,15.0,C,2006,2021
Danny Gare,827.0,354.0,331.0,685.0,0.828,1285.0,1974-1987,13.0,RW,1974,1987
Dan Quinn,805.0,266.0,419.0,685.0,0.851,533.0,1983-1997,14.0,C,1983,1997
