Name,GP,G,A,TP,PPG,PIM,Period,Years,POS,firstYear,lastYear
Greg Smyth,229.0,4.0,16.0,20.0,0.087,783.0,1986-1997,10.0,D,1986,1997
Matt Donovan,69.0,2.0,18.0,20.0,0.29,28.0,2011-2019,4.0,D,2011,2019
John Bednarski,100.0,2.0,18.0,20.0,0.2,114.0,1974-1980,4.0,D,1974,1980
John Schella,115.0,2.0,18.0,20.0,0.174,224.0,1970-1972,2.0,D,1970,1972
Tyson Strachan,186.0,1.0,19.0,20.0,0.10800000000000001,199.0,2008-2016,8.0,D,2008,2016
Clint Albright,59.0,14.0,5.0,19.0,0.322,19.0,1948-1949,1.0,C,1948,1949
Derek Laxdal,67.0,12.0,7.0,19.0,0.284,88.0,1984-1991,6.0,RW,1984,1991
Wally Wilson,53.0,11.0,8.0,19.0,0.358,18.0,1947-1948,1.0,RW,1947,1948
Justin Papineau,81.0,11.0,8.0,19.0,0.235,12.0,2001-2004,3.0,C/LW,2001,2004
John McDonald,43.0,10.0,9.0,19.0,0.442,6.0,1943-1944,1.0,F,1943,1944
Guy Larose,70.0,10.0,9.0,19.0,0.271,63.0,1988-1995,6.0,C,1988,1995
Cliff Barton,85.0,10.0,9.0,19.0,0.22399999999999998,22.0,1929-1940,3.0,RW,1929,1940
Herb Gardiner,108.0,10.0,9.0,19.0,0.17600000000000002,52.0,1926-1929,3.0,D,1926,1929
Mike Korney,77.0,9.0,10.0,19.0,0.247,59.0,1973-1979,4.0,D/RW,1973,1979
Angus Cameron,35.0,8.0,11.0,19.0,0.5429999999999999,0.0,1942-1943,1.0,C,1942,1943
Len Fontaine,46.0,8.0,11.0,19.0,0.413,10.0,1972-1974,2.0,RW/C,1972,1974
Rickard Wallin,79.0,8.0,11.0,19.0,0.24100000000000002,34.0,2002-2010,3.0,C,2002,2010
Jean Savard,43.0,7.0,12.0,19.0,0.442,29.0,1977-1980,3.0,C,1977,1980
Igor Chibirev,45.0,7.0,12.0,19.0,0.42200000000000004,2.0,1993-1995,2.0,C,1993,1995
Rob Cowie,78.0,7.0,12.0,19.0,0.244,52.0,1994-1996,2.0,D,1994,1996
Eric Pettinger,98.0,7.0,12.0,19.0,0.19399999999999998,83.0,1928-1931,3.0,F,1928,1931
Roman Horak,84.0,6.0,13.0,19.0,0.226,16.0,2011-2014,3.0,C/LW,2011,2014
Jim Mair,76.0,4.0,15.0,19.0,0.25,49.0,1970-1975,5.0,D,1970,1975
Rob Murray,107.0,4.0,15.0,19.0,0.17800000000000002,111.0,1989-1999,8.0,C,1989,1999
Ryan McGill,151.0,4.0,15.0,19.0,0.126,391.0,1991-1995,4.0,D,1991,1995
Dennis Vial,242.0,4.0,15.0,19.0,0.079,794.0,1990-1998,8.0,D,1990,1998
Larry Zeidel,158.0,3.0,16.0,19.0,0.12,198.0,1951-1969,5.0,D,1951,1969
