Name,GP,G,A,TP,PPG,PIM,Period,Years,POS
Bill Lesuk,388.0,44.0,63.0,107.0,0.276,368.0,1968-1980,8.0,LW
Cy Wentworth,575.0,39.0,68.0,107.0,0.18600000000000003,355.0,1927-1940,13.0,D
Danton Heinen,229.0,37.0,70.0,107.0,0.467,44.0,2016-2021,5.0,C/W
Anton Babchuk,289.0,36.0,71.0,107.0,0.37,108.0,2003-2013,7.0,D
Bob Beers,258.0,28.0,79.0,107.0,0.415,225.0,1989-1997,8.0,D
Alain Daigle,389.0,56.0,50.0,106.0,0.272,122.0,1974-1980,6.0,RW
Stephane Veilleux,506.0,50.0,56.0,106.0,0.209,348.0,2002-2015,11.0,LW
Gord Labossiere,215.0,44.0,62.0,106.0,0.493,75.0,1963-1972,6.0,C
Scott Laughton,321.0,44.0,62.0,106.0,0.33,172.0,2012-2021,8.0,C/LW
Alex Tuch,200.0,43.0,63.0,106.0,0.53,43.0,2016-2021,5.0,RW
Devin Shore,288.0,39.0,67.0,106.0,0.368,49.0,2015-2020,5.0,C/LW
Bryan Campbell,260.0,35.0,71.0,106.0,0.408,74.0,1967-1972,5.0,C
Mikhail Sergachyov,228.0,25.0,81.0,106.0,0.465,124.0,2016-2020,4.0,D
Paul Ranger,323.0,24.0,82.0,106.0,0.32799999999999996,254.0,2005-2014,6.0,D
Pierre Bouchard,595.0,24.0,82.0,106.0,0.17800000000000002,433.0,1970-1982,12.0,D
Rhett Warrener,714.0,24.0,82.0,106.0,0.14800000000000002,899.0,1995-2008,12.0,D
Mike Commodore,484.0,23.0,83.0,106.0,0.21899999999999997,683.0,2000-2012,11.0,D
Gord Dineen,528.0,16.0,90.0,106.0,0.201,693.0,1982-1995,13.0,D
Greg Fox,494.0,14.0,92.0,106.0,0.215,637.0,1977-1985,8.0,D
Bill Touhey,280.0,65.0,40.0,105.0,0.375,107.0,1927-1934,7.0,LW
