Name,GP,G,A,TP,PPG,PIM,Period,Years,POS
Steve Dubinsky,375.0,25.0,45.0,70.0,0.187,164.0,1993-2003,10.0,C
Colin White,155.0,23.0,47.0,70.0,0.452,71.0,2016-2021,5.0,C/RW
Mark Smith,377.0,23.0,47.0,70.0,0.18600000000000003,457.0,2000-2008,7.0,C
Jesse Winchester,285.0,20.0,50.0,70.0,0.24600000000000002,159.0,2007-2016,8.0,C/W
Travis Sanheim,200.0,19.0,51.0,70.0,0.35,74.0,2017-2021,4.0,D
Bob Turner,478.0,19.0,51.0,70.0,0.146,307.0,1955-1963,8.0,D
Charlie Bourgeois,290.0,16.0,54.0,70.0,0.24100000000000002,788.0,1981-1988,7.0,D
Mattias Timander,419.0,13.0,57.0,70.0,0.16699999999999998,165.0,1996-2004,8.0,D
Al Arbour,626.0,12.0,58.0,70.0,0.11199999999999999,617.0,1953-1971,16.0,D
Rob Zettler,569.0,5.0,65.0,70.0,0.12300000000000001,920.0,1988-2002,14.0,D
Pat Lundy,150.0,37.0,32.0,69.0,0.46,31.0,1945-1951,5.0,C
Jordan Weal,218.0,32.0,37.0,69.0,0.317,56.0,2015-2021,6.0,C/W
Robin Burns,190.0,31.0,38.0,69.0,0.363,139.0,1970-1976,5.0,LW
Pat Hannigan,182.0,30.0,39.0,69.0,0.379,116.0,1959-1969,5.0,LW
Tim Trimper,190.0,30.0,39.0,69.0,0.363,153.0,1979-1985,6.0,LW
Pat Peake,134.0,28.0,41.0,69.0,0.515,105.0,1993-1998,5.0,RW
Gordon Donnelly,554.0,28.0,41.0,69.0,0.125,2069.0,1983-1995,12.0,D/RW
Dmitrij Jaskin,303.0,27.0,42.0,69.0,0.228,88.0,2012-2019,7.0,RW/LW
Tanner Glass,527.0,24.0,45.0,69.0,0.131,658.0,2007-2018,11.0,LW
Don Nachbaur,223.0,23.0,46.0,69.0,0.309,465.0,1980-1990,8.0,C
Larry Wilson,152.0,21.0,48.0,69.0,0.45399999999999996,75.0,1949-1956,6.0,C
Mikhail Tatarinov,161.0,21.0,48.0,69.0,0.429,184.0,1990-1994,4.0,D
Al Hangsleben,185.0,21.0,48.0,69.0,0.373,396.0,1979-1982,3.0,D
Tom Pederson,240.0,20.0,49.0,69.0,0.28800000000000003,142.0,1992-1997,5.0,D
Alexandre Picard,253.0,19.0,50.0,69.0,0.273,86.0,2005-2012,7.0,D
Tapio Levo,107.0,16.0,53.0,69.0,0.645,36.0,1981-1983,2.0,D
Michal Sykora,267.0,15.0,54.0,69.0,0.258,185.0,1993-2001,7.0,D
Trevor van Riemsdyk,364.0,15.0,54.0,69.0,0.19,102.0,2014-2021,7.0,D
Brad Winchester,390.0,37.0,31.0,68.0,0.174,552.0,2005-2012,7.0,LW
Andre Roy,515.0,35.0,33.0,68.0,0.132,1169.0,1995-2009,11.0,LW
Garry Peters,311.0,34.0,34.0,68.0,0.21899999999999997,261.0,1964-1972,8.0,C
Gerry Heffernan,83.0,33.0,35.0,68.0,0.8190000000000001,27.0,1941-1944,3.0,RW
Joakim Nordstrom,400.0,31.0,37.0,68.0,0.17,71.0,2013-2021,8.0,C/LW
Bo Berglund,130.0,28.0,40.0,68.0,0.523,40.0,1983-1986,3.0,RW
Brandon Bochenski,156.0,28.0,40.0,68.0,0.436,54.0,2005-2010,5.0,RW/C
Justin Fontaine,197.0,27.0,41.0,68.0,0.345,58.0,2013-2016,3.0,RW
Dominik Kahun,138.0,25.0,43.0,68.0,0.493,14.0,2018-2020,2.0,C/W
Miro Heiskanen,150.0,20.0,48.0,68.0,0.45299999999999996,28.0,2018-2021,3.0,D
Alex Levinsky,367.0,19.0,49.0,68.0,0.185,307.0,1930-1939,9.0,D
Ed Hospodar,450.0,17.0,51.0,68.0,0.151,1314.0,1979-1988,9.0,D
Don Jackson,315.0,16.0,52.0,68.0,0.21600000000000003,640.0,1977-1987,10.0,D
Vitali Vishnevski,552.0,16.0,52.0,68.0,0.12300000000000001,494.0,1999-2008,8.0,D
Bill Juzda,398.0,14.0,54.0,68.0,0.171,398.0,1940-1952,9.0,D
Kent Huskins,318.0,13.0,55.0,68.0,0.214,173.0,2006-2013,7.0,D
Ossi Vaananen,479.0,13.0,55.0,68.0,0.142,482.0,2000-2009,7.0,D
Bob McCord,316.0,10.0,58.0,68.0,0.215,262.0,1963-1973,7.0,RW
Andreas Johnsson,125.0,30.0,37.0,67.0,0.536,46.0,2017-2021,4.0,LW/RW
Rod Lorrain,179.0,28.0,39.0,67.0,0.374,30.0,1935-1942,6.0,RW
Jack Roslovic,180.0,26.0,41.0,67.0,0.37200000000000005,18.0,2016-2020,4.0,C/RW
Kris Beech,198.0,25.0,42.0,67.0,0.33799999999999997,113.0,2000-2008,7.0,C
Brian Gibbons,204.0,25.0,42.0,67.0,0.32799999999999996,58.0,2013-2020,5.0,W/C
Don Blackburn,185.0,23.0,44.0,67.0,0.36200000000000004,87.0,1962-1973,6.0,LW
Peter Regin,243.0,23.0,44.0,67.0,0.276,64.0,2008-2015,7.0,C
Gregg Boddy,273.0,23.0,44.0,67.0,0.245,263.0,1971-1976,5.0,D
Billy McNeill,257.0,21.0,46.0,67.0,0.261,142.0,1956-1964,6.0,RW
Jason Marshall,526.0,16.0,51.0,67.0,0.127,1004.0,1991-2006,12.0,D
Kevan Miller,324.0,12.0,55.0,67.0,0.207,261.0,2013-2021,8.0,D
Ryan Wilson,230.0,7.0,60.0,67.0,0.29100000000000004,157.0,2009-2015,6.0,D
Dave Hrechkosy,140.0,42.0,24.0,66.0,0.47100000000000003,41.0,1973-1977,4.0,LW
Hubie McDonough,195.0,40.0,26.0,66.0,0.33799999999999997,67.0,1988-1993,5.0,C
Richard Leduc,130.0,28.0,38.0,66.0,0.508,69.0,1972-1981,4.0,C
Jared Boll,579.0,28.0,38.0,66.0,0.114,1298.0,2007-2018,11.0,RW
Joel Eriksson Ek,210.0,24.0,42.0,66.0,0.314,68.0,2016-2021,5.0,C/W
Frank Eddolls,317.0,23.0,43.0,66.0,0.20800000000000002,114.0,1944-1952,8.0,D
Wally Weir,320.0,21.0,45.0,66.0,0.20600000000000002,625.0,1979-1985,6.0,RW
Marty Burke,494.0,19.0,47.0,66.0,0.134,560.0,1927-1938,11.0,D
Jamie Rivers,454.0,17.0,49.0,66.0,0.145,385.0,1995-2007,11.0,D
Jim Kyte,598.0,17.0,49.0,66.0,0.11,1342.0,1982-1996,13.0,D
Bob Hoffmeyer,198.0,14.0,52.0,66.0,0.33299999999999996,325.0,1977-1985,6.0,D
Marshall Johnston,251.0,14.0,52.0,66.0,0.263,58.0,1967-1974,7.0,D
Tony White,164.0,37.0,28.0,65.0,0.396,104.0,1974-1980,5.0,LW
Leo Reise,223.0,36.0,29.0,65.0,0.29100000000000004,181.0,1920-1930,8.0,D
Bill Jennings,108.0,32.0,33.0,65.0,0.602,45.0,1940-1945,5.0,RW
Josh Leivo,169.0,31.0,34.0,65.0,0.385,56.0,2013-2021,8.0,LW/RW
Robert Petrovicky,208.0,27.0,38.0,65.0,0.313,118.0,1992-2001,8.0,C
Howie Menard,151.0,23.0,42.0,65.0,0.43,87.0,1963-1970,4.0,C
Thommie Bergman,246.0,21.0,44.0,65.0,0.264,243.0,1972-1980,6.0,D
Cody McCormick,405.0,21.0,44.0,65.0,0.16,550.0,2003-2017,13.0,C/W
Dale DeGray,153.0,18.0,47.0,65.0,0.425,195.0,1985-1990,5.0,D
Claire Alexander,155.0,18.0,47.0,65.0,0.419,36.0,1974-1978,4.0,D
Neil Sheehy,379.0,18.0,47.0,65.0,0.172,1311.0,1983-1992,9.0,D
Mark Fayne,389.0,17.0,48.0,65.0,0.16699999999999998,131.0,2010-2017,7.0,D
Patrick Traverse,279.0,14.0,51.0,65.0,0.233,113.0,1995-2006,7.0,D
Nolan Pratt,592.0,9.0,56.0,65.0,0.11,537.0,1996-2008,11.0,D
Mark Jankowski,208.0,36.0,28.0,64.0,0.308,59.0,2016-2021,5.0,C
Bobby Simpson,175.0,35.0,29.0,64.0,0.366,98.0,1976-1983,5.0,LW
Tyson Nash,374.0,27.0,37.0,64.0,0.171,673.0,1998-2006,7.0,LW
Beau Bennett,200.0,24.0,40.0,64.0,0.32,52.0,2012-2018,6.0,RW/LW
Andrew Desjardins,408.0,23.0,41.0,64.0,0.157,307.0,2010-2017,7.0,W/C
Mikhail Grigorenko,217.0,22.0,42.0,64.0,0.295,30.0,2012-2021,6.0,C/RW
Jacob Josefson,315.0,20.0,44.0,64.0,0.203,84.0,2010-2018,8.0,C
Dominik Simon,173.0,19.0,45.0,64.0,0.37,46.0,2015-2021,6.0,C/W
Len Barrie,184.0,19.0,45.0,64.0,0.348,290.0,1989-2001,7.0,C
Blake Wesley,298.0,18.0,46.0,64.0,0.215,486.0,1979-1986,7.0,D
Len Frig,311.0,13.0,51.0,64.0,0.20600000000000002,479.0,1972-1980,7.0,D
David Williams,173.0,11.0,53.0,64.0,0.37,157.0,1991-1995,4.0,D
Doug Zmolek,467.0,11.0,53.0,64.0,0.13699999999999998,905.0,1992-2000,8.0,D
Dylan DeMelo,269.0,7.0,57.0,64.0,0.23800000000000002,131.0,2015-2021,6.0,D
Douglas Murray,518.0,7.0,57.0,64.0,0.124,412.0,2005-2014,9.0,D
Mickey MacKay,147.0,44.0,19.0,63.0,0.429,79.0,1926-1930,4.0,C
Christian Fischer,213.0,35.0,28.0,63.0,0.29600000000000004,57.0,2016-2021,5.0,RW
Ryan Craig,198.0,32.0,31.0,63.0,0.318,148.0,2005-2015,8.0,C/LW
Dustin Boyd,220.0,32.0,31.0,63.0,0.28600000000000003,41.0,2006-2011,5.0,C
Lawson Crouse,230.0,32.0,31.0,63.0,0.27399999999999997,155.0,2016-2021,5.0,LW
Don Tannahill,111.0,30.0,33.0,63.0,0.568,25.0,1972-1974,2.0,LW
Oskar Sundqvist,201.0,28.0,35.0,63.0,0.313,70.0,2015-2021,6.0,C
Harold Druken,146.0,27.0,36.0,63.0,0.43200000000000005,36.0,1999-2004,5.0,C
Rico Fata,230.0,27.0,36.0,63.0,0.27399999999999997,104.0,1998-2007,8.0,C
Jeff Tambellini,242.0,27.0,36.0,63.0,0.26,88.0,2005-2011,6.0,LW/RW
Nic Dowd,251.0,24.0,39.0,63.0,0.251,103.0,2015-2021,6.0,C/RW
Skip Krake,249.0,23.0,40.0,63.0,0.253,182.0,1963-1971,7.0,C
Paul Stanton,295.0,14.0,49.0,63.0,0.214,262.0,1990-1995,5.0,D
Bill Nyrop,207.0,12.0,51.0,63.0,0.304,101.0,1975-1982,4.0,D
Andrej Sustr,324.0,10.0,53.0,63.0,0.19399999999999998,147.0,2012-2019,7.0,D
Garry Lariviere,219.0,6.0,57.0,63.0,0.28800000000000003,167.0,1979-1983,4.0,D
Nicolas Deslauriers,376.0,31.0,31.0,62.0,0.165,355.0,2013-2021,8.0,LW/RW
Lawrence Sacharuk,151.0,29.0,33.0,62.0,0.41100000000000003,42.0,1972-1977,5.0,D
Brad Smith,222.0,28.0,34.0,62.0,0.27899999999999997,591.0,1978-1987,9.0,RW
Lionel Hitchman,417.0,28.0,34.0,62.0,0.149,523.0,1922-1934,12.0,D
Bill Barilko,252.0,26.0,36.0,62.0,0.24600000000000002,456.0,1946-1951,5.0,D
Gilles Thibaudeau,119.0,25.0,37.0,62.0,0.521,40.0,1986-1991,5.0,C
George Lyle,99.0,24.0,38.0,62.0,0.626,51.0,1979-1983,4.0,LW
Patrik Carnback,154.0,24.0,38.0,62.0,0.40299999999999997,122.0,1992-1996,4.0,LW
Niko Dimitrakos,158.0,24.0,38.0,62.0,0.392,95.0,2002-2007,4.0,RW
Phil Hergesheimer,125.0,21.0,41.0,62.0,0.496,19.0,1939-1943,4.0,RW
Dan Bylsma,429.0,19.0,43.0,62.0,0.145,184.0,1995-2004,9.0,RW
Mark Mowers,278.0,18.0,44.0,62.0,0.223,70.0,1998-2008,7.0,C
Aaron Johnson,291.0,17.0,45.0,62.0,0.213,227.0,2003-2013,8.0,D
Greg Zanon,493.0,12.0,50.0,62.0,0.126,230.0,2005-2013,8.0,D
Shawn Anderson,255.0,11.0,51.0,62.0,0.243,117.0,1986-1995,8.0,D
Bob Paradise,368.0,8.0,54.0,62.0,0.168,393.0,1971-1979,8.0,D
Colin Forbes,311.0,33.0,28.0,61.0,0.196,213.0,1996-2006,9.0,C
Bill Riley,139.0,31.0,30.0,61.0,0.439,320.0,1974-1980,5.0,F
Fred Ahern,146.0,31.0,30.0,61.0,0.418,130.0,1974-1978,4.0,RW
Marcel Hossa,237.0,31.0,30.0,61.0,0.257,106.0,2001-2008,6.0,LW/RW
Ryan White,313.0,31.0,30.0,61.0,0.195,447.0,2009-2017,8.0,C/RW
Ken Priestlay,168.0,27.0,34.0,61.0,0.363,63.0,1986-1992,6.0,C
Brian Flynn,275.0,27.0,34.0,61.0,0.222,32.0,2012-2017,5.0,C/W
Nolan Patrick,145.0,26.0,35.0,61.0,0.42100000000000004,57.0,2017-2021,4.0,C
Curtis Lazar,284.0,20.0,41.0,61.0,0.215,68.0,2014-2021,7.0,C/W
Stanislav Chistov,196.0,19.0,42.0,61.0,0.311,116.0,2002-2007,3.0,LW
Chris Evans,241.0,19.0,42.0,61.0,0.253,143.0,1969-1975,5.0,D
Iiro Jarvi,116.0,18.0,43.0,61.0,0.526,58.0,1988-1990,2.0,RW
Matt Benning,248.0,15.0,46.0,61.0,0.24600000000000002,126.0,2016-2021,5.0,D
Jim McElmury,180.0,14.0,47.0,61.0,0.33899999999999997,49.0,1972-1978,5.0,D
Michal Kempny,232.0,14.0,47.0,61.0,0.263,130.0,2016-2021,5.0,D
Adam Pelech,247.0,12.0,49.0,61.0,0.247,78.0,2015-2021,6.0,D
Jon Merrill,356.0,12.0,49.0,61.0,0.171,195.0,2013-2021,8.0,D
Perry Miller,217.0,10.0,51.0,61.0,0.281,387.0,1977-1981,4.0,D
Hugh Bolton,235.0,10.0,51.0,61.0,0.26,221.0,1949-1957,8.0,D
Brett Ritchie,268.0,35.0,25.0,60.0,0.22399999999999998,177.0,2014-2020,6.0,RW
Gord Hannigan,161.0,29.0,31.0,60.0,0.373,117.0,1952-1956,4.0,C
Percy Galbraith,347.0,29.0,31.0,60.0,0.17300000000000001,224.0,1926-1934,8.0,LW
Jack Hamilton,102.0,28.0,32.0,60.0,0.588,20.0,1942-1946,3.0,LW
Denis Malgin,192.0,28.0,32.0,60.0,0.313,42.0,2016-2020,4.0,C/W
Blair Atcheynum,196.0,27.0,33.0,60.0,0.306,36.0,1992-2001,5.0,RW
Adam Burish,378.0,27.0,33.0,60.0,0.159,554.0,2006-2015,9.0,RW/LW
Fido Purpur,144.0,25.0,35.0,60.0,0.41700000000000004,46.0,1934-1945,5.0,RW
Jim Cummins,511.0,24.0,36.0,60.0,0.11699999999999999,1538.0,1991-2004,12.0,RW
Hec Lalande,151.0,21.0,39.0,60.0,0.397,120.0,1953-1958,4.0,C
Jackie LeClair,160.0,20.0,40.0,60.0,0.375,56.0,1954-1957,3.0,C
Kamil Kreps,232.0,18.0,42.0,60.0,0.259,71.0,2006-2010,4.0,C/RW
Markus Nutivaara,244.0,17.0,43.0,60.0,0.24600000000000002,30.0,2016-2021,5.0,D
Jamie Pushor,521.0,14.0,46.0,60.0,0.115,648.0,1995-2006,10.0,D
Jiri Fischer,305.0,11.0,49.0,60.0,0.19699999999999998,295.0,1999-2006,6.0,D
Larry Brown,455.0,7.0,53.0,60.0,0.132,180.0,1969-1978,9.0,D
Marcus Sorensen,197.0,30.0,29.0,59.0,0.299,58.0,2016-2020,4.0,LW/RW
Kevin Maguire,260.0,29.0,30.0,59.0,0.22699999999999998,782.0,1986-1992,6.0,RW
Tomas Surovy,126.0,27.0,32.0,59.0,0.46799999999999997,71.0,2002-2006,3.0,LW/C
Yvon Vautour,204.0,26.0,33.0,59.0,0.289,401.0,1979-1985,6.0,RW
Everett Sanipass,164.0,25.0,34.0,59.0,0.36,358.0,1986-1991,5.0,LW
Jack McGill,97.0,23.0,36.0,59.0,0.608,42.0,1941-1947,4.0,C
Bill Watson,115.0,23.0,36.0,59.0,0.513,12.0,1985-1989,4.0,RW
Peter White,220.0,23.0,36.0,59.0,0.268,36.0,1993-2004,9.0,C
Sean Pronger,260.0,23.0,36.0,59.0,0.22699999999999998,159.0,1995-2004,8.0,C
Jason Krog,202.0,22.0,37.0,59.0,0.292,46.0,1999-2009,7.0,C
Pete Kelly,177.0,21.0,38.0,59.0,0.33299999999999996,68.0,1934-1942,7.0,RW
Len Hachborn,102.0,20.0,39.0,59.0,0.578,29.0,1983-1986,3.0,C
Sean Kuraly,223.0,20.0,39.0,59.0,0.265,114.0,2016-2021,5.0,C/LW
Paul Masnick,232.0,18.0,41.0,59.0,0.254,139.0,1950-1958,6.0,C
Nick Shore,299.0,18.0,41.0,59.0,0.19699999999999998,98.0,2014-2020,5.0,C
Cliff Pennington,101.0,17.0,42.0,59.0,0.584,6.0,1960-1963,3.0,C
Brendan Leipsic,187.0,16.0,43.0,59.0,0.316,53.0,2015-2020,4.0,LW/C
Raimo Helminen,117.0,13.0,46.0,59.0,0.504,16.0,1985-1989,3.0,C
Noel Acciari,246.0,38.0,20.0,58.0,0.23600000000000002,101.0,2015-2021,6.0,C/W
Pierre Dagenais,142.0,35.0,23.0,58.0,0.408,58.0,2000-2006,5.0,LW
Chris Wagner,317.0,35.0,23.0,58.0,0.183,171.0,2014-2021,7.0,W/C
Alex Pirus,159.0,30.0,28.0,58.0,0.365,94.0,1976-1980,4.0,RW
Kevin Porter,249.0,29.0,29.0,58.0,0.233,60.0,2008-2017,8.0,C
Zach Sanford,157.0,28.0,30.0,58.0,0.369,59.0,2016-2021,4.0,LW
Ron Anderson,251.0,28.0,30.0,58.0,0.231,146.0,1967-1972,5.0,RW
Damien Brunner,121.0,25.0,33.0,58.0,0.479,46.0,2012-2015,3.0,RW/LW
Artyom Chubarov,228.0,25.0,33.0,58.0,0.254,40.0,1999-2004,5.0,C
Byron Ritchie,324.0,25.0,33.0,58.0,0.179,373.0,1998-2008,8.0,C
Ted Taylor,166.0,23.0,35.0,58.0,0.349,181.0,1964-1972,6.0,LW
Tim Tookey,106.0,22.0,36.0,58.0,0.547,71.0,1980-1989,7.0,C
Colin Fraser,359.0,20.0,38.0,58.0,0.162,290.0,2006-2015,9.0,C/LW
Brad Hunt,179.0,18.0,40.0,58.0,0.324,24.0,2013-2021,8.0,D
Jamie Oleksiak,313.0,18.0,40.0,58.0,0.185,255.0,2012-2021,9.0,D
Robert Bortuzzo,377.0,16.0,42.0,58.0,0.154,372.0,2011-2021,10.0,D
Ray Timgren,251.0,14.0,44.0,58.0,0.231,70.0,1948-1955,6.0,LW
Scot Kleinendorst,281.0,12.0,46.0,58.0,0.20600000000000002,452.0,1982-1990,8.0,D
Bob Gassoff,245.0,11.0,47.0,58.0,0.237,866.0,1973-1977,4.0,D
Lee Fogolin,427.0,10.0,48.0,58.0,0.136,575.0,1947-1956,9.0,D
Mike Mottau,321.0,7.0,51.0,58.0,0.18100000000000002,164.0,2000-2014,9.0,D
Conor Garland,115.0,35.0,22.0,57.0,0.496,32.0,2018-2021,3.0,RW/LW
Jim Bartlett,191.0,34.0,23.0,57.0,0.298,273.0,1954-1961,5.0,LW
Josh Archibald,183.0,32.0,25.0,57.0,0.311,56.0,2015-2021,6.0,RW/LW
Oskar Lindblom,134.0,30.0,27.0,57.0,0.425,32.0,2017-2021,4.0,LW
Ryan Donato,130.0,29.0,28.0,57.0,0.43799999999999994,20.0,2017-2021,4.0,C/LW
Tim Schaller,276.0,29.0,28.0,57.0,0.207,92.0,2014-2020,6.0,C/W
Danny Lawson,219.0,28.0,29.0,57.0,0.26,61.0,1967-1972,5.0,RW
Don Barber,115.0,25.0,32.0,57.0,0.496,64.0,1988-1992,4.0,RW
Howie Hughes,168.0,25.0,32.0,57.0,0.33899999999999997,30.0,1967-1970,3.0,RW
Claude Laforge,193.0,24.0,33.0,57.0,0.295,82.0,1957-1969,8.0,LW
Marc-Antoine Pouliot,192.0,21.0,36.0,57.0,0.297,76.0,2005-2012,7.0,C/RW
Jeff Finger,198.0,17.0,40.0,57.0,0.28800000000000003,114.0,2006-2010,4.0,D
Mike Wilson,336.0,16.0,41.0,57.0,0.17,264.0,1995-2003,8.0,D
Grant Jennings,389.0,14.0,43.0,57.0,0.147,804.0,1987-1996,9.0,D
Sean Brown,437.0,14.0,43.0,57.0,0.13,909.0,1996-2006,9.0,D
Jim Pavese,328.0,13.0,44.0,57.0,0.174,691.0,1981-1989,8.0,D
Dwight Bialowas,164.0,11.0,46.0,57.0,0.348,46.0,1973-1977,4.0,D
Frank Martin,282.0,11.0,46.0,57.0,0.20199999999999999,122.0,1952-1958,6.0,D
Trevor Johansen,286.0,11.0,46.0,57.0,0.19899999999999998,282.0,1977-1982,5.0,D
Timo Blomqvist,243.0,4.0,53.0,57.0,0.235,293.0,1981-1987,5.0,D
Wilfred Green,103.0,36.0,20.0,56.0,0.544,220.0,1923-1928,5.0,RW
Brandon Yip,174.0,29.0,27.0,56.0,0.322,130.0,2009-2014,5.0,RW/LW
Steve Tuttle,144.0,28.0,28.0,56.0,0.389,12.0,1988-1991,3.0,RW
Brian Conacher,155.0,28.0,28.0,56.0,0.361,84.0,1961-1972,5.0,LW
Ty Arbour,207.0,28.0,28.0,56.0,0.271,112.0,1926-1931,5.0,LW
Darroll Powe,329.0,28.0,28.0,56.0,0.17,214.0,2008-2014,6.0,C/W
Brad Jones,148.0,25.0,31.0,56.0,0.37799999999999995,122.0,1986-1992,6.0,C
Garnet Hathaway,241.0,25.0,31.0,56.0,0.23199999999999998,298.0,2015-2021,6.0,RW/LW
Norm Schmidt,125.0,23.0,33.0,56.0,0.44799999999999995,73.0,1983-1988,4.0,D
Lucas Wallmark,167.0,23.0,33.0,56.0,0.335,58.0,2016-2021,5.0,C
Max Kaminsky,130.0,22.0,34.0,56.0,0.431,38.0,1933-1937,4.0,F
Craig Darby,196.0,21.0,35.0,56.0,0.28600000000000003,32.0,1994-2004,9.0,C
Mattias Weinhandl,182.0,19.0,37.0,56.0,0.308,70.0,2002-2007,4.0,RW
Joe Paterson,291.0,19.0,37.0,56.0,0.192,829.0,1980-1989,9.0,LW
Ralph Nattrass,223.0,18.0,38.0,56.0,0.251,308.0,1946-1950,4.0,D
Stephen Gionta,301.0,16.0,40.0,56.0,0.18600000000000003,95.0,2010-2019,8.0,C/RW
Mark Barberio,272.0,14.0,42.0,56.0,0.20600000000000002,115.0,2012-2020,8.0,D
Ernie Dickens,278.0,12.0,44.0,56.0,0.201,98.0,1941-1951,6.0,D
Duvie Westcott,201.0,11.0,45.0,56.0,0.27899999999999997,299.0,2001-2008,6.0,D
Quinn Hughes,73.0,8.0,48.0,56.0,0.767,24.0,2018-2021,3.0,D
Mark Renaud,152.0,6.0,50.0,56.0,0.368,86.0,1979-1984,5.0,D
Nick Jensen,278.0,6.0,50.0,56.0,0.201,73.0,2016-2021,5.0,D
Roope Hintz,118.0,28.0,27.0,55.0,0.466,40.0,2018-2020,2.0,C/LW
Hank Nowak,180.0,26.0,29.0,55.0,0.306,161.0,1973-1977,4.0,LW
Greg Johnston,187.0,26.0,29.0,55.0,0.294,124.0,1983-1992,9.0,D
Tomi Kallio,140.0,24.0,31.0,55.0,0.39299999999999996,48.0,2000-2003,3.0,RW
Josh Jooris,213.0,23.0,32.0,55.0,0.258,87.0,2014-2018,4.0,C/RW
Chandler Stephenson,209.0,22.0,33.0,55.0,0.263,26.0,2015-2021,6.0,C/LW
Jeff Toms,236.0,22.0,33.0,55.0,0.233,59.0,1995-2003,8.0,C
Dick Sarrazin,100.0,20.0,35.0,55.0,0.55,22.0,1968-1972,3.0,RW
Don Metz,172.0,20.0,35.0,55.0,0.32,42.0,1938-1949,9.0,RW
Ron Andruff,153.0,19.0,36.0,55.0,0.359,54.0,1974-1979,5.0,C
Rick Bowness,173.0,18.0,37.0,55.0,0.318,191.0,1975-1982,7.0,RW
Dave Capuano,104.0,17.0,38.0,55.0,0.529,56.0,1989-1994,4.0,LW
Steve McCarthy,302.0,17.0,38.0,55.0,0.182,168.0,1999-2008,8.0,D
Stephane Morin,90.0,16.0,39.0,55.0,0.611,52.0,1989-1994,5.0,C
Dave Dunn,184.0,14.0,41.0,55.0,0.299,313.0,1973-1976,3.0,D
Eric Gelinas,189.0,14.0,41.0,55.0,0.29100000000000004,92.0,2012-2017,5.0,D
Jason Strudwick,674.0,13.0,42.0,55.0,0.08199999999999999,811.0,1995-2011,14.0,D
Al Cameron,282.0,11.0,44.0,55.0,0.195,356.0,1975-1981,6.0,D
Jeff Woywitka,278.0,9.0,46.0,55.0,0.198,149.0,2005-2012,7.0,D
Andrew Alberts,459.0,8.0,47.0,55.0,0.12,492.0,2005-2014,9.0,D
Kevin Dean,331.0,7.0,48.0,55.0,0.166,138.0,1994-2001,7.0,D
Don Spring,259.0,1.0,54.0,55.0,0.212,80.0,1980-1984,4.0,D
Stefan Noesen,199.0,31.0,23.0,54.0,0.271,120.0,2014-2021,7.0,RW
Lloyd Klein,164.0,30.0,24.0,54.0,0.32899999999999996,68.0,1928-1938,8.0,RW
Ben Smith,237.0,29.0,25.0,54.0,0.228,9.0,2010-2017,7.0,RW/C
Dmitri Afanasenkov,227.0,27.0,27.0,54.0,0.23800000000000002,52.0,2000-2007,5.0,LW
Patrick Kaleta,348.0,27.0,27.0,54.0,0.155,542.0,2006-2015,9.0,RW
Terry Gray,147.0,26.0,28.0,54.0,0.36700000000000005,64.0,1961-1971,6.0,RW
Dan Bonar,169.0,25.0,39.0,54.0,0.32,208.0,1980-1983,3.0,C
Fran Huck,94.0,24.0,30.0,54.0,0.574,38.0,1969-1973,3.0,C
Rob Schremp,114.0,20.0,34.0,54.0,0.474,26.0,2006-2011,5.0,C
Greg Carroll,131.0,20.0,34.0,54.0,0.41200000000000003,44.0,1978-1980,2.0,F
Rocco Grimaldi,156.0,20.0,34.0,54.0,0.34600000000000003,28.0,2014-2021,7.0,C/RW
Tom Kuhnhackl,232.0,18.0,36.0,54.0,0.233,60.0,2015-2020,5.0,RW/LW
Jody Shelley,627.0,18.0,36.0,54.0,0.086,1538.0,2000-2013,12.0,LW
Roger Jenkins,325.0,15.0,39.0,54.0,0.166,253.0,1930-1939,8.0,RW
John Erskine,491.0,15.0,39.0,54.0,0.11,865.0,2001-2015,13.0,D
Filip Hronek,111.0,14.0,40.0,54.0,0.486,76.0,2018-2020,2.0,D
Jordan Oesterle,209.0,14.0,40.0,54.0,0.258,34.0,2014-2021,7.0,D
Scott Mayfield,229.0,14.0,40.0,54.0,0.23600000000000002,219.0,2013-2021,8.0,D
Poul Popiel,224.0,13.0,41.0,54.0,0.24100000000000002,210.0,1965-1980,7.0,D
Ken Baumgartner,696.0,13.0,41.0,54.0,0.078,2242.0,1987-1999,12.0,LW/D
Matt Grzelcyk,197.0,10.0,44.0,54.0,0.27399999999999997,126.0,2016-2021,5.0,D
Ricard Persson,229.0,10.0,44.0,54.0,0.23600000000000002,262.0,1995-2002,7.0,D
Brad Bombardir,356.0,8.0,46.0,54.0,0.152,127.0,1997-2004,7.0,D
Billy Coutu,241.0,33.0,20.0,53.0,0.22,399.0,1917-1927,10.0,D
Mal Davis,100.0,31.0,22.0,53.0,0.53,34.0,1978-1986,6.0,RW
Dave Cameron,168.0,25.0,28.0,53.0,0.315,238.0,1981-1984,3.0,C
Mark Arcobello,139.0,24.0,29.0,53.0,0.381,28.0,2012-2016,4.0,C/RW
Mike Polich,226.0,24.0,29.0,53.0,0.235,57.0,1976-1981,5.0,C
Gary Rissling,221.0,23.0,30.0,53.0,0.24,1008.0,1978-1985,7.0,LW
