#,Player,GP,G,A,TP,PPG,PIM,Period,Years,Name,POS
1881.0,Connor Brown (RW),324.0,59.0,83.0,142.0,0.43799999999999994,68.0,2015-2021,6.0,Connor Brown ,RW)
1882.0,Jarkko Ruutu (LW),652.0,58.0,84.0,142.0,0.218,1078.0,1999-2011,11.0,Jarkko Ruutu ,LW)
1883.0,Jon Klemm (D),773.0,42.0,100.0,142.0,0.184,436.0,1991-2008,15.0,Jon Klemm ,D)
1884.0,Henrik Tallinder (D),678.0,28.0,114.0,142.0,0.209,378.0,2001-2014,12.0,Henrik Tallinder ,D)
1885.0,Tim Gleason (D),727.0,17.0,125.0,142.0,0.195,701.0,2003-2015,11.0,Tim Gleason ,D)
1886.0,Steve Christoff (C),248.0,77.0,64.0,141.0,0.569,108.0,1979-1984,5.0,Steve Christoff ,C)
1887.0,Sylvio Mantha (D),542.0,63.0,78.0,141.0,0.26,671.0,1923-1937,14.0,Sylvio Mantha ,D)
1888.0,Hartland Monahan (LW),334.0,61.0,80.0,141.0,0.42200000000000004,163.0,1973-1981,7.0,Hartland Monahan ,LW)
1889.0,Dennis Polonich (C),390.0,59.0,82.0,141.0,0.36200000000000004,1242.0,1974-1983,8.0,Dennis Polonich ,C)
1890.0,Colton Sceviour (C/W),454.0,59.0,82.0,141.0,0.311,108.0,2010-2021,10.0,Colton Sceviour ,C/W)
1891.0,Jan Ludvig (F),314.0,54.0,87.0,141.0,0.449,418.0,1982-1989,7.0,Jan Ludvig ,F)
1892.0,Nick Holden (D),496.0,45.0,96.0,141.0,0.284,150.0,2010-2021,10.0,Nick Holden ,D)
1893.0,Germain Gagnon (LW),259.0,40.0,101.0,141.0,0.544,72.0,1971-1976,5.0,Germain Gagnon ,LW)
1894.0,Gilbert Dionne (LW),223.0,61.0,79.0,140.0,0.628,108.0,1990-1996,6.0,Gilbert Dionne ,LW)
1895.0,Lou Franceschetti (RW),459.0,59.0,81.0,140.0,0.305,747.0,1981-1992,10.0,Lou Franceschetti ,RW)
1896.0,Normand Dupont (LW),256.0,55.0,85.0,140.0,0.547,52.0,1979-1984,5.0,Normand Dupont ,LW)
1897.0,Dick Tärnström (D),306.0,35.0,105.0,140.0,0.45799999999999996,254.0,2001-2008,5.0,Dick Tärnström ,D)
1898.0,Frantisek Musil (D),797.0,34.0,106.0,140.0,0.17600000000000002,1241.0,1986-2001,14.0,Frantisek Musil ,D)
1899.0,Nate Schmidt (D),396.0,29.0,111.0,140.0,0.354,84.0,2013-2021,8.0,Nate Schmidt ,D)
1900.0,Roman Polák (D),806.0,26.0,114.0,140.0,0.174,643.0,2006-2020,14.0,Roman Polák ,D)
1901.0,Karel Rachunek (D),371.0,22.0,118.0,140.0,0.377,227.0,1999-2008,7.0,Karel Rachunek ,D)
1902.0,Harry Cameron (D/F),128.0,88.0,51.0,139.0,1.0859999999999999,189.0,1917-1923,6.0,Harry Cameron ,D/F)
1903.0,Jon Sim (LW),469.0,75.0,64.0,139.0,0.29600000000000004,314.0,1998-2011,12.0,Jon Sim ,LW)
1904.0,Norm Ferguson (C),279.0,73.0,66.0,139.0,0.498,72.0,1968-1972,4.0,Norm Ferguson ,C)
1905.0,Maxim Lapierre (C),614.0,65.0,74.0,139.0,0.226,586.0,2005-2015,10.0,Maxim Lapierre ,C)
1906.0,Pat Conacher (LW),521.0,63.0,76.0,139.0,0.267,235.0,1979-1996,13.0,Pat Conacher ,LW)
1907.0,Steve Ludzik (C),424.0,46.0,93.0,139.0,0.32799999999999996,333.0,1981-1990,9.0,Steve Ludzik ,C)
1908.0,Darryl Shannon (D),544.0,28.0,111.0,139.0,0.256,523.0,1988-2001,13.0,Darryl Shannon ,D)
1909.0,Keith Magnuson (D),589.0,14.0,125.0,139.0,0.23600000000000002,1442.0,1969-1980,11.0,Keith Magnuson ,D)
1910.0,Sprague Cleghorn (D),259.0,83.0,55.0,138.0,0.5329999999999999,538.0,1918-1928,10.0,Sprague Cleghorn ,D)
1911.0,Michel Bergeron (RW),229.0,80.0,58.0,138.0,0.603,165.0,1974-1979,5.0,Michel Bergeron ,RW)
1912.0,Jordy Douglas (F),268.0,76.0,62.0,138.0,0.515,169.0,1979-1985,6.0,Jordy Douglas ,F)
1913.0,John Wensink (LW),403.0,70.0,68.0,138.0,0.342,842.0,1973-1983,8.0,John Wensink ,LW)
1914.0,Jim Slater (C),584.0,67.0,71.0,138.0,0.23600000000000002,407.0,2005-2015,10.0,Jim Slater ,C)
1915.0,Sven Bärtschi (LW),291.0,66.0,72.0,138.0,0.474,78.0,2011-2021,10.0,Sven Bärtschi ,LW)
1916.0,Mike Santorelli (C),406.0,64.0,74.0,138.0,0.34,78.0,2008-2016,8.0,Mike Santorelli ,C)
1917.0,Randy Pierce (RW),277.0,62.0,76.0,138.0,0.498,223.0,1977-1985,8.0,Randy Pierce ,RW)
1918.0,Tim Hunter (D/RW),815.0,62.0,76.0,138.0,0.16899999999999998,3146.0,1981-1997,16.0,Tim Hunter ,D/RW)
