#,Player,GP,G,A,TP,PPG,PIM,Period,Years,Name,POS
1.0,Wayne Gretzky (C),1487.0,894.0,1963.0,2857.0,1.921,577.0,1979-1999,20.0,Wayne Gretzky ,C)
2.0,Jaromír Jágr (RW),1733.0,766.0,1155.0,1921.0,1.1079999999999999,1167.0,1990-2018,24.0,Jaromír Jágr ,RW)
3.0,Mark Messier (C),1756.0,694.0,1193.0,1887.0,1.075,1910.0,1979-2004,25.0,Mark Messier ,C)
4.0,Gordie Howe (RW),1767.0,801.0,1049.0,1850.0,1.047,1685.0,1946-1980,26.0,Gordie Howe ,RW)
5.0,Ron Francis (C),1731.0,549.0,1249.0,1798.0,1.0390000000000001,979.0,1981-2004,23.0,Ron Francis ,C)
6.0,Marcel Dionne (C),1348.0,731.0,1040.0,1771.0,1.314,600.0,1971-1989,18.0,Marcel Dionne ,C)
7.0,Steve Yzerman (C),1514.0,692.0,1063.0,1755.0,1.159,924.0,1983-2006,22.0,Steve Yzerman ,C)
8.0,Mario Lemieux (C),915.0,690.0,1033.0,1723.0,1.883,834.0,1984-2006,17.0,Mario Lemieux ,C)
9.0,Joe Sakic (C),1378.0,625.0,1016.0,1641.0,1.1909999999999998,614.0,1988-2009,20.0,Joe Sakic ,C)
10.0,Phil Esposito (C),1282.0,717.0,873.0,1590.0,1.24,910.0,1963-1981,18.0,Phil Esposito ,C)
11.0,Raymond Bourque (D),1612.0,410.0,1169.0,1579.0,0.98,1141.0,1979-2001,22.0,Raymond Bourque ,D)
12.0,Mark Recchi (RW),1652.0,577.0,956.0,1533.0,0.9279999999999999,1033.0,1988-2011,22.0,Mark Recchi ,RW)
13.0,Paul Coffey (D),1409.0,396.0,1135.0,1531.0,1.087,1802.0,1980-2001,21.0,Paul Coffey ,D)
14.0,Joe Thornton (C),1636.0,420.0,1089.0,1509.0,0.922,1248.0,1997-2020,22.0,Joe Thornton ,C)
15.0,Stan Mikita (C),1394.0,541.0,926.0,1467.0,1.052,1270.0,1958-1980,22.0,Stan Mikita ,C)
16.0,Teemu Selänne (RW),1451.0,684.0,773.0,1457.0,1.004,660.0,1992-2014,21.0,Teemu Selänne ,RW)
17.0,Bryan Trottier (C),1279.0,524.0,901.0,1425.0,1.114,912.0,1975-1994,18.0,Bryan Trottier ,C)
18.0,Adam Oates (C),1337.0,341.0,1079.0,1420.0,1.062,415.0,1985-2004,19.0,Adam Oates ,C)
19.0,Doug Gilmour (C),1474.0,450.0,964.0,1414.0,0.9590000000000001,1299.0,1983-2003,20.0,Doug Gilmour ,C)
20.0,Dale Hawerchuk (C),1188.0,518.0,891.0,1409.0,1.186,740.0,1981-1997,16.0,Dale Hawerchuk ,C)
21.0,Jari Kurri (RW),1251.0,601.0,797.0,1398.0,1.1179999999999999,545.0,1980-1998,17.0,Jari Kurri ,RW)
22.0,Luc Robitaille (LW),1431.0,668.0,726.0,1394.0,0.9740000000000001,1177.0,1986-2006,19.0,Luc Robitaille ,LW)
23.0,Brett Hull (RW),1269.0,741.0,650.0,1391.0,1.0959999999999999,457.0,1985-2006,20.0,Brett Hull ,RW)
24.0,Mike Modano (C),1499.0,561.0,813.0,1374.0,0.917,926.0,1988-2011,22.0,Mike Modano ,C)
25.0,Johnny Bucyk (LW),1540.0,556.0,813.0,1369.0,0.889,497.0,1955-1978,23.0,Johnny Bucyk ,LW)
26.0,Brendan Shanahan (LW),1524.0,656.0,698.0,1354.0,0.888,2489.0,1987-2009,21.0,Brendan Shanahan ,LW)
27.0,Guy Lafleur (RW),1126.0,560.0,793.0,1353.0,1.202,399.0,1971-1991,17.0,Guy Lafleur ,RW)
28.0,Mats Sundin (C),1346.0,564.0,785.0,1349.0,1.002,1093.0,1990-2009,18.0,Mats Sundin ,C)
29.0,Dave Andreychuk (LW),1639.0,640.0,698.0,1338.0,0.816,1125.0,1982-2006,23.0,Dave Andreychuk ,LW)
30.0,Denis Savard (C),1196.0,473.0,865.0,1338.0,1.119,1336.0,1980-1997,17.0,Denis Savard ,C)
31.0,Mike Gartner (RW),1432.0,708.0,627.0,1335.0,0.932,1159.0,1979-1998,19.0,Mike Gartner ,RW)
32.0,Pierre Turgeon (C),1294.0,515.0,812.0,1327.0,1.026,452.0,1987-2007,19.0,Pierre Turgeon ,C)
33.0,Gilbert Perreault (C),1191.0,512.0,814.0,1326.0,1.113,500.0,1970-1987,17.0,Gilbert Perreault ,C)
34.0,Jarome Iginla (RW),1554.0,625.0,675.0,1300.0,0.8370000000000001,1040.0,1995-2017,21.0,Jarome Iginla ,RW)
35.0,Alex Delvecchio (C),1550.0,456.0,825.0,1281.0,0.826,383.0,1950-1974,24.0,Alex Delvecchio ,C)
36.0,Alexander Ovechkin (LW),1152.0,706.0,572.0,1278.0,1.109,719.0,2005-2021,16.0,Alexander Ovechkin ,LW)
37.0,Al MacInnis (D),1416.0,340.0,934.0,1274.0,0.9,1511.0,1981-2004,23.0,Al MacInnis ,D)
38.0,Jean Ratelle (C),1281.0,491.0,776.0,1267.0,0.9890000000000001,276.0,1960-1981,21.0,Jean Ratelle ,C)
39.0,Sidney Crosby (C),984.0,462.0,801.0,1263.0,1.284,673.0,2005-2021,16.0,Sidney Crosby ,C)
40.0,Peter Stastny (C),977.0,450.0,789.0,1239.0,1.268,824.0,1980-1995,15.0,Peter Stastny ,C)
41.0,Phil Housley (D),1495.0,338.0,894.0,1232.0,0.8240000000000001,822.0,1982-2003,21.0,Phil Housley ,D)
42.0,Norm Ullman (C),1410.0,490.0,739.0,1229.0,0.872,712.0,1955-1975,20.0,Norm Ullman ,C)
43.0,Jean Béliveau (C),1125.0,507.0,712.0,1219.0,1.084,1029.0,1950-1971,20.0,Jean Béliveau ,C)
44.0,Jeremy Roenick (C),1363.0,513.0,703.0,1216.0,0.892,1463.0,1988-2009,20.0,Jeremy Roenick ,C)
45.0,Larry Murphy (D),1615.0,287.0,929.0,1216.0,0.753,1084.0,1980-2001,21.0,Larry Murphy ,D)
46.0,Bobby Clarke (C),1144.0,358.0,852.0,1210.0,1.058,1453.0,1969-1984,15.0,Bobby Clarke ,C)
47.0,Bernie Nicholls (C),1127.0,475.0,734.0,1209.0,1.073,1292.0,1981-1999,18.0,Bernie Nicholls ,C)
48.0,Vincent Damphousse (C),1378.0,432.0,783.0,1205.0,0.8740000000000001,1190.0,1986-2004,18.0,Vincent Damphousse ,C)
49.0,Dino Ciccarelli (RW),1232.0,608.0,592.0,1200.0,0.9740000000000001,1425.0,1980-1999,19.0,Dino Ciccarelli ,RW)
50.0,Patrick Marleau (LW),1723.0,562.0,626.0,1188.0,0.6890000000000001,517.0,1997-2021,23.0,Patrick Marleau ,LW)
51.0,Rod Brind'Amour (C),1484.0,452.0,732.0,1184.0,0.7979999999999999,1100.0,1988-2010,21.0,Rod Brind'Amour ,C)
52.0,Sergei Fedorov (C),1248.0,483.0,696.0,1179.0,0.945,839.0,1990-2009,18.0,Sergei Fedorov ,C)
53.0,Bobby Hull (LW),1063.0,610.0,560.0,1170.0,1.101,640.0,1957-1980,16.0,Bobby Hull ,LW)
54.0,Daniel Alfredsson (RW),1246.0,444.0,713.0,1157.0,0.929,510.0,1995-2014,18.0,Daniel Alfredsson ,RW)
55.0,Michel Goulet (LW),1089.0,548.0,604.0,1152.0,1.058,825.0,1979-1994,15.0,Michel Goulet ,LW)
56.0,Nicklas Lidström (D),1564.0,264.0,878.0,1142.0,0.73,514.0,1991-2012,20.0,Nicklas Lidström ,D)
57.0,Marián Hossa (RW),1309.0,525.0,609.0,1134.0,0.866,628.0,1997-2021,23.0,Marián Hossa ,RW)
58.0,Bernie Federko (C),1000.0,369.0,761.0,1130.0,1.13,487.0,1976-1990,14.0,Bernie Federko ,C)
59.0,Mike Bossy (RW),752.0,573.0,553.0,1126.0,1.4969999999999999,222.0,1977-1987,10.0,Mike Bossy ,RW)
60.0,Joe Nieuwendyk (C),1257.0,564.0,562.0,1126.0,0.8959999999999999,677.0,1986-2007,20.0,Joe Nieuwendyk ,C)
61.0,Darryl Sittler (C),1096.0,484.0,637.0,1121.0,1.023,948.0,1970-1985,15.0,Darryl Sittler ,C)
62.0,Frank Mahovlich (LW),1181.0,533.0,570.0,1103.0,0.934,1056.0,1956-1974,18.0,Frank Mahovlich ,LW)
63.0,Glenn Anderson (RW),1129.0,498.0,601.0,1099.0,0.973,1120.0,1980-1996,16.0,Glenn Anderson ,RW)
64.0,Theo Fleury (RW),1084.0,455.0,633.0,1088.0,1.004,1840.0,1988-2003,15.0,Theo Fleury ,RW)
65.0,Yevgeni Malkin (C),907.0,416.0,660.0,1076.0,1.186,960.0,2006-2021,15.0,Yevgeni Malkin ,C)
66.0,Henrik Sedin (C),1330.0,240.0,830.0,1070.0,0.805,680.0,2000-2018,17.0,Henrik Sedin ,C)
67.0,Dave Taylor (RW),1111.0,431.0,638.0,1069.0,0.9620000000000001,1589.0,1977-1994,17.0,Dave Taylor ,RW)
68.0,Keith Tkachuk (LW),1201.0,538.0,527.0,1065.0,0.887,2219.0,1991-2010,18.0,Keith Tkachuk ,LW)
69.0,Ray Whitney (LW),1330.0,385.0,679.0,1064.0,0.8,465.0,1991-2014,22.0,Ray Whitney ,LW)
70.0,Pat Verbeek (RW),1424.0,521.0,541.0,1063.0,0.746,2905.0,1982-2002,20.0,Pat Verbeek ,RW)
71.0,Joe Mullen (RW),1062.0,502.0,561.0,1063.0,1.001,241.0,1979-1997,17.0,Joe Mullen ,RW)
72.0,Denis Potvin (D),1060.0,310.0,742.0,1052.0,0.992,1356.0,1973-1988,15.0,Denis Potvin ,D)
73.0,Henri Richard (C),1256.0,358.0,688.0,1046.0,0.833,928.0,1955-1975,20.0,Henri Richard ,C)
74.0,Daniel Sedin (LW),1306.0,393.0,648.0,1041.0,0.797,546.0,2000-2018,17.0,Daniel Sedin ,LW)
75.0,Bobby Smith (C),1077.0,357.0,679.0,1036.0,0.9620000000000001,917.0,1978-1993,15.0,Bobby Smith ,C)
76.0,Martin St. Louis (RW),1134.0,391.0,642.0,1033.0,0.9109999999999999,310.0,1998-2015,16.0,Martin St. Louis ,RW)
77.0,Doug Weight (C),1238.0,278.0,755.0,1033.0,0.8340000000000001,970.0,1990-2011,20.0,Doug Weight ,C)
78.0,Alexander Mogilny (RW),990.0,473.0,559.0,1032.0,1.042,432.0,1989-2006,16.0,Alexander Mogilny ,RW)
79.0,Alexei Kovalev (RW),1316.0,430.0,599.0,1029.0,0.782,1304.0,1992-2013,19.0,Alexei Kovalev ,RW)
80.0,Brian Leetch (D),1205.0,247.0,781.0,1028.0,0.853,571.0,1987-2006,18.0,Brian Leetch ,D)
81.0,Patrik Elias (LW),1240.0,408.0,617.0,1025.0,0.8270000000000001,549.0,1995-2016,20.0,Patrik Elias ,LW)
82.0,Brian Bellows (RW),1188.0,485.0,537.0,1022.0,0.86,718.0,1982-1999,17.0,Brian Bellows ,RW)
83.0,Patrick Kane (RW),973.0,389.0,633.0,1022.0,1.05,378.0,2007-2021,14.0,Patrick Kane ,RW)
84.0,Eric Staal (C),1240.0,436.0,585.0,1021.0,0.823,818.0,2003-2021,17.0,Eric Staal ,C)
85.0,Rod Gilbert (RW),1065.0,406.0,615.0,1021.0,0.9590000000000001,508.0,1960-1978,18.0,Rod Gilbert ,RW)
86.0,Dale Hunter (RW),1409.0,323.0,697.0,1020.0,0.7240000000000001,3565.0,1980-1999,19.0,Dale Hunter ,RW)
87.0,Pat LaFontaine (C),865.0,468.0,545.0,1013.0,1.171,552.0,1983-1998,15.0,Pat LaFontaine ,C)
88.0,Steve Larmer (RW),1006.0,441.0,571.0,1012.0,1.006,532.0,1980-1995,15.0,Steve Larmer ,RW)
89.0,Lanny McDonald (RW),1111.0,500.0,506.0,1006.0,0.905,899.0,1973-1989,16.0,Lanny McDonald ,RW)
90.0,Brian Propp (LW),1016.0,425.0,579.0,1004.0,0.988,830.0,1979-1994,15.0,Brian Propp ,LW)
91.0,Paul Kariya (LW),989.0,402.0,587.0,989.0,1.0,399.0,1994-2010,15.0,Paul Kariya ,LW)
92.0,Rick Middleton (RW),1005.0,448.0,540.0,988.0,0.983,157.0,1974-1988,14.0,Rick Middleton ,RW)
93.0,Dave Keon (C),1296.0,396.0,590.0,986.0,0.7609999999999999,117.0,1960-1982,18.0,Dave Keon ,C)
94.0,Andy Bathgate (C/RW),1069.0,349.0,624.0,973.0,0.91,624.0,1952-1971,17.0,Andy Bathgate ,C/RW)
95.0,Shane Doan (RW),1540.0,402.0,570.0,972.0,0.631,1353.0,1995-2017,21.0,Shane Doan ,RW)
96.0,Maurice Richard (RW),978.0,544.0,422.0,966.0,0.988,1285.0,1942-1960,18.0,Maurice Richard ,RW)
97.0,Ryan Getzlaf (C),1053.0,274.0,691.0,965.0,0.9159999999999999,888.0,2005-2021,16.0,Ryan Getzlaf ,C)
98.0,Henrik Zetterberg (C),1082.0,337.0,623.0,960.0,0.887,401.0,2002-2021,18.0,Henrik Zetterberg ,C)
99.0,Kirk Muller (C),1349.0,357.0,602.0,959.0,0.711,1223.0,1984-2003,19.0,Kirk Muller ,C)
100.0,Larry Robinson (D),1384.0,208.0,750.0,958.0,0.6920000000000001,793.0,1972-1992,20.0,Larry Robinson ,D)
101.0,Rick Tocchet (RW),1144.0,440.0,512.0,952.0,0.8320000000000001,2912.0,1984-2002,18.0,Rick Tocchet ,RW)
102.0,Anze Kopitar (C),1073.0,333.0,617.0,950.0,0.885,294.0,2006-2021,15.0,Anze Kopitar ,C)
103.0,Vincent Lecavalier (C),1212.0,421.0,528.0,949.0,0.7829999999999999,848.0,1998-2016,17.0,Vincent Lecavalier ,C)
104.0,Chris Chelios (D),1651.0,185.0,763.0,948.0,0.574,2891.0,1983-2010,26.0,Chris Chelios ,D)
105.0,Jason Spezza (C),1123.0,341.0,599.0,940.0,0.8370000000000001,572.0,2002-2021,18.0,Jason Spezza ,C)
106.0,Jason Arnott (C),1244.0,417.0,521.0,938.0,0.754,1242.0,1993-2012,18.0,Jason Arnott ,C)
107.0,Steve Thomas (RW),1235.0,421.0,512.0,933.0,0.755,1306.0,1984-2004,20.0,Steve Thomas ,RW)
108.0,Brad Richards (C),1126.0,298.0,634.0,932.0,0.828,251.0,2000-2016,15.0,Brad Richards ,C)
109.0,Nicklas Bäckström (C),956.0,243.0,684.0,927.0,0.97,462.0,2007-2021,14.0,Nicklas Bäckström ,C)
110.0,Neal Broten (C),1099.0,289.0,634.0,923.0,0.84,569.0,1980-1997,17.0,Neal Broten ,C)
111.0,Pavel Datsyuk (C),953.0,314.0,604.0,918.0,0.963,232.0,2001-2016,14.0,Pavel Datsyuk ,C)
112.0,Bobby Orr (D),657.0,270.0,645.0,915.0,1.393,953.0,1966-1979,12.0,Bobby Orr ,D)
113.0,Gary Roberts (LW),1225.0,438.0,472.0,910.0,0.743,2560.0,1986-2009,21.0,Gary Roberts ,LW)
114.0,Scott Stevens (D),1635.0,196.0,712.0,908.0,0.555,2785.0,1982-2004,22.0,Scott Stevens ,D)
115.0,Tony Amonte (RW),1174.0,416.0,484.0,900.0,0.767,752.0,1990-2007,16.0,Tony Amonte ,RW)
116.0,Ray Ferraro (C),1258.0,408.0,490.0,898.0,0.7140000000000001,1288.0,1984-2002,18.0,Ray Ferraro ,C)
117.0,Brad Park (D),1113.0,213.0,683.0,896.0,0.805,1429.0,1968-1985,17.0,Brad Park ,D)
118.0,Peter Bondra (RW),1081.0,503.0,389.0,892.0,0.825,761.0,1990-2007,16.0,Peter Bondra ,RW)
119.0,Butch Goring (C),1107.0,375.0,513.0,888.0,0.802,102.0,1969-1985,16.0,Butch Goring ,C)
120.0,Owen Nolan (RW),1200.0,422.0,463.0,885.0,0.738,1793.0,1990-2010,18.0,Owen Nolan ,RW)
121.0,Peter Forsberg (C),708.0,249.0,636.0,885.0,1.25,688.0,1994-2011,14.0,Peter Forsberg ,C)
122.0,Bill Barber (LW),903.0,420.0,463.0,883.0,0.978,623.0,1972-1984,12.0,Bill Barber ,LW)
123.0,Dennis Maruk (C),888.0,356.0,522.0,878.0,0.9890000000000001,761.0,1975-1989,14.0,Dennis Maruk ,C)
124.0,Ilya Kovalchuk (LW/RW),926.0,443.0,433.0,876.0,0.946,544.0,2001-2020,13.0,Ilya Kovalchuk ,LW/RW)
125.0,Markus Näslund (LW),1117.0,395.0,474.0,869.0,0.778,736.0,1993-2009,15.0,Markus Näslund ,LW)
126.0,Patrice Bergeron (C),1089.0,352.0,517.0,869.0,0.7979999999999999,424.0,2003-2021,17.0,Patrice Bergeron ,C)
127.0,Cliff Ronning (C),1137.0,306.0,563.0,869.0,0.764,453.0,1985-2004,18.0,Cliff Ronning ,C)
128.0,Trevor Linden (C),1372.0,375.0,492.0,867.0,0.632,895.0,1988-2008,19.0,Trevor Linden ,C)
129.0,Ivan Boldirev (C),1052.0,361.0,505.0,866.0,0.823,507.0,1970-1985,15.0,Ivan Boldirev ,C)
130.0,Eric Lindros (C),760.0,372.0,493.0,865.0,1.138,1398.0,1992-2007,13.0,Eric Lindros ,C)
131.0,Yvan Cournoyer (RW),968.0,428.0,435.0,863.0,0.892,255.0,1963-1979,16.0,Yvan Cournoyer ,RW)
132.0,Alex Tanguay (LW),1088.0,283.0,580.0,863.0,0.7929999999999999,527.0,1999-2016,16.0,Alex Tanguay ,LW)
133.0,Phil Kessel (RW),1066.0,371.0,490.0,861.0,0.8079999999999999,320.0,2006-2021,15.0,Phil Kessel ,RW)
134.0,Dean Prentice (LW),1378.0,391.0,469.0,860.0,0.624,484.0,1952-1974,22.0,Dean Prentice ,LW)
135.0,Tomas Sandström (RW),983.0,394.0,463.0,857.0,0.872,1193.0,1984-1999,15.0,Tomas Sandström ,RW)
136.0,Bill Guerin (RW),1263.0,429.0,427.0,856.0,0.6779999999999999,1660.0,1991-2010,18.0,Bill Guerin ,RW)
137.0,Vyacheslav Kozlov (LW),1182.0,356.0,497.0,853.0,0.722,704.0,1991-2010,18.0,Vyacheslav Kozlov ,LW)
138.0,Ted Lindsay (LW),1068.0,379.0,472.0,851.0,0.797,1808.0,1944-1965,17.0,Ted Lindsay ,LW)
139.0,Gary Suter (D),1145.0,203.0,641.0,844.0,0.737,1349.0,1985-2002,17.0,Gary Suter ,D)
140.0,Tom Lysiak (C),919.0,292.0,551.0,843.0,0.917,567.0,1973-1986,13.0,Tom Lysiak ,C)
141.0,John MacLean (RW),1194.0,413.0,429.0,842.0,0.705,1328.0,1983-2002,18.0,John MacLean ,RW)
142.0,Ryan Smyth (LW),1270.0,386.0,456.0,842.0,0.6629999999999999,976.0,1994-2014,19.0,Ryan Smyth ,LW)
143.0,Scott Mellanby (RW),1431.0,364.0,476.0,840.0,0.5870000000000001,2479.0,1985-2007,21.0,Scott Mellanby ,RW)
144.0,John Tonelli (LW),1028.0,325.0,511.0,836.0,0.813,911.0,1978-1992,14.0,John Tonelli ,LW)
145.0,Jacques Lemaire (C),853.0,366.0,469.0,835.0,0.9790000000000001,217.0,1967-1979,12.0,Jacques Lemaire ,C)
146.0,Steven Stamkos (C/W),803.0,422.0,410.0,832.0,1.036,499.0,2008-2021,13.0,Steven Stamkos ,C/W)
147.0,Saku Koivu (C),1124.0,255.0,577.0,832.0,0.74,809.0,1995-2014,18.0,Saku Koivu ,C)
148.0,Brent Sutter (C),1111.0,363.0,466.0,829.0,0.746,1054.0,1980-1998,18.0,Brent Sutter ,C)
149.0,John Ogrodnick (LW),928.0,402.0,425.0,827.0,0.8909999999999999,260.0,1979-1993,14.0,John Ogrodnick ,LW)
150.0,Doug Wilson (D),1024.0,237.0,590.0,827.0,0.8079999999999999,830.0,1977-1993,16.0,Doug Wilson ,D)
151.0,Red Kelly (D/C),1316.0,281.0,542.0,823.0,0.625,327.0,1947-1967,20.0,Red Kelly ,D/C)
152.0,Pierre Larouche (C),812.0,395.0,427.0,822.0,1.012,237.0,1974-1988,14.0,Pierre Larouche ,C)
153.0,Bernard Geoffrion (RW),883.0,393.0,429.0,822.0,0.9309999999999999,689.0,1950-1968,16.0,Bernard Geoffrion ,RW)
154.0,Stéphane Richer (LW),1054.0,421.0,398.0,819.0,0.777,614.0,1984-2002,17.0,Stéphane Richer ,LW)
155.0,John LeClair (LW),967.0,406.0,413.0,819.0,0.847,501.0,1990-2007,16.0,John LeClair ,LW)
156.0,Steve Shutt (LW),930.0,424.0,393.0,817.0,0.878,410.0,1972-1985,13.0,Steve Shutt ,LW)
157.0,Thomas Steen (C),950.0,264.0,553.0,817.0,0.86,753.0,1981-1995,14.0,Thomas Steen ,C)
158.0,Marián Gáborík (RW/LW),1035.0,407.0,408.0,815.0,0.787,492.0,2000-2021,20.0,Marián Gáborík ,RW/LW)
159.0,Jonathan Toews (C),943.0,345.0,470.0,815.0,0.8640000000000001,525.0,2007-2021,14.0,Jonathan Toews ,C)
160.0,Claude Giroux (C/W),890.0,257.0,558.0,815.0,0.9159999999999999,380.0,2007-2021,14.0,Claude Giroux ,C/W)
161.0,Wilf Paiement (RW),946.0,356.0,458.0,814.0,0.86,1757.0,1974-1988,14.0,Wilf Paiement ,RW)
162.0,Peter McNab (C),954.0,363.0,450.0,813.0,0.852,179.0,1973-1987,14.0,Peter McNab ,C)
163.0,Sergei Gonchar (D),1301.0,220.0,591.0,811.0,0.623,981.0,1994-2015,20.0,Sergei Gonchar ,D)
164.0,Pit Martin (C),1101.0,324.0,485.0,809.0,0.735,609.0,1961-1979,17.0,Pit Martin ,C)
165.0,Ken Linseman (LW),860.0,256.0,551.0,807.0,0.938,1727.0,1978-1992,14.0,Ken Linseman ,LW)
166.0,Rick Nash (LW/RW),1060.0,437.0,368.0,805.0,0.759,750.0,2002-2018,15.0,Rick Nash ,LW/RW)
167.0,Milan Hejduk (RW),1020.0,375.0,430.0,805.0,0.789,316.0,1998-2013,14.0,Milan Hejduk ,RW)
168.0,Garry Unger (C),1105.0,413.0,391.0,804.0,0.728,1075.0,1967-1983,16.0,Garry Unger ,C)
169.0,Ken Hodge (RW),881.0,328.0,472.0,800.0,0.9079999999999999,779.0,1964-1978,14.0,Ken Hodge ,RW)
170.0,Geoff Courtnall (LW),1049.0,367.0,432.0,799.0,0.762,1465.0,1983-2000,17.0,Geoff Courtnall ,LW)
171.0,Corey Perry (RW),1045.0,377.0,420.0,797.0,0.763,1180.0,2005-2020,15.0,Corey Perry ,RW)
172.0,Justin Williams (RW),1264.0,320.0,477.0,797.0,0.631,766.0,2000-2020,19.0,Justin Williams ,RW)
173.0,Ed Olczyk (C),1031.0,342.0,452.0,794.0,0.77,874.0,1984-2000,16.0,Ed Olczyk ,C)
174.0,Wayne Cashman (RW),1027.0,277.0,516.0,793.0,0.772,1041.0,1964-1983,17.0,Wayne Cashman ,RW)
175.0,Mike Ribeiro (C),1074.0,228.0,565.0,793.0,0.738,577.0,1999-2017,17.0,Mike Ribeiro ,C)
176.0,Zach Parise (LW/RW),1015.0,386.0,406.0,792.0,0.78,378.0,2005-2021,16.0,Zach Parise ,LW/RW)
177.0,Joe Pavelski (C/RW),1030.0,369.0,423.0,792.0,0.769,400.0,2006-2021,15.0,Joe Pavelski ,C/RW)
178.0,Dany Heatley (LW/RW),869.0,372.0,419.0,791.0,0.91,620.0,2001-2015,13.0,Dany Heatley ,LW/RW)
179.0,Thomas Vanek (LW/RW),1029.0,373.0,416.0,789.0,0.767,547.0,2005-2019,14.0,Thomas Vanek ,LW/RW)
180.0,Rick Vaive (RW),876.0,441.0,347.0,788.0,0.9,1445.0,1979-1992,13.0,Rick Vaive ,RW)
181.0,Börje Salming (D),1148.0,150.0,637.0,787.0,0.6859999999999999,1344.0,1973-1990,17.0,Börje Salming ,D)
182.0,Claude Lemieux (RW),1215.0,369.0,407.0,786.0,0.647,1777.0,1983-2009,21.0,Claude Lemieux ,RW)
183.0,Alexei Yashin (C),850.0,337.0,444.0,781.0,0.919,401.0,1993-2007,12.0,Alexei Yashin ,C)
184.0,Pavel Bure (RW),702.0,437.0,342.0,779.0,1.11,484.0,1991-2003,12.0,Pavel Bure ,RW)
185.0,Rob Blake (D),1270.0,240.0,537.0,777.0,0.612,1679.0,1989-2010,20.0,Rob Blake ,D)
186.0,Jean Pronovost (RW),998.0,391.0,383.0,774.0,0.7759999999999999,413.0,1968-1982,14.0,Jean Pronovost ,RW)
187.0,Dave Christian (RW),1009.0,340.0,433.0,773.0,0.7659999999999999,284.0,1979-1994,15.0,Dave Christian ,RW)
188.0,Pete Mahovlich (LW),884.0,288.0,485.0,773.0,0.8740000000000001,916.0,1965-1981,16.0,Pete Mahovlich ,LW)
189.0,Sergei Zubov (D),1068.0,152.0,619.0,771.0,0.722,337.0,1992-2009,16.0,Sergei Zubov ,D)
190.0,Todd Bertuzzi (RW),1159.0,314.0,456.0,770.0,0.664,1478.0,1995-2014,18.0,Todd Bertuzzi ,RW)
191.0,John Tavares (C),814.0,345.0,424.0,769.0,0.945,365.0,2009-2021,12.0,John Tavares ,C)
192.0,Pavol Demitra (C),848.0,304.0,464.0,768.0,0.9059999999999999,284.0,1993-2010,16.0,Pavol Demitra ,C)
193.0,Rick Kehoe (RW),906.0,371.0,396.0,767.0,0.847,120.0,1971-1985,14.0,Rick Kehoe ,RW)
194.0,Václav Prospal (LW/C),1108.0,255.0,510.0,765.0,0.69,581.0,1996-2013,16.0,Václav Prospal ,LW/C)
195.0,Brian Rolston (LW),1256.0,342.0,419.0,761.0,0.606,472.0,1994-2012,17.0,Brian Rolston ,LW)
196.0,Blake Wheeler (RW/C),931.0,264.0,497.0,761.0,0.8170000000000001,609.0,2008-2021,13.0,Blake Wheeler ,RW/C)
197.0,Kevin Dineen (RW),1188.0,355.0,405.0,760.0,0.64,2229.0,1984-2003,19.0,Kevin Dineen ,RW)
198.0,Rick MacLeish (LW),846.0,349.0,410.0,759.0,0.897,434.0,1970-1984,14.0,Rick MacLeish ,LW)
199.0,Murray Craven (C),1071.0,266.0,493.0,759.0,0.7090000000000001,524.0,1982-2000,18.0,Murray Craven ,C)
200.0,Mike Ridley (C),866.0,292.0,466.0,758.0,0.875,424.0,1985-1997,12.0,Mike Ridley ,C)
201.0,Scott Young (RW),1181.0,342.0,415.0,757.0,0.6409999999999999,448.0,1987-2006,17.0,Scott Young ,RW)
202.0,Scott Gomez (C),1079.0,181.0,575.0,756.0,0.701,655.0,1999-2016,16.0,Scott Gomez ,C)
203.0,Steve Duchesne (D),1113.0,227.0,526.0,752.0,0.6759999999999999,824.0,1986-2002,16.0,Steve Duchesne ,D)
204.0,Craig Janney (C),760.0,188.0,563.0,751.0,0.988,170.0,1987-1999,12.0,Craig Janney ,C)
205.0,Olli Jokinen (C),1231.0,321.0,429.0,750.0,0.609,1071.0,1997-2015,17.0,Olli Jokinen ,C)
206.0,Bobby Holík (C),1314.0,326.0,421.0,747.0,0.568,1421.0,1990-2009,18.0,Bobby Holík ,C)
207.0,Steve Sullivan (LW),1011.0,290.0,457.0,747.0,0.7390000000000001,587.0,1995-2013,16.0,Steve Sullivan ,LW)
208.0,Russ Courtnall (RW),1029.0,297.0,447.0,744.0,0.723,557.0,1983-1999,16.0,Russ Courtnall ,RW)
209.0,Mathieu Schneider (D),1289.0,223.0,521.0,744.0,0.5770000000000001,1250.0,1987-2010,21.0,Mathieu Schneider ,D)
210.0,Greg Adams (LW),1056.0,355.0,388.0,743.0,0.7040000000000001,326.0,1984-2001,17.0,Greg Adams ,LW)
211.0,Mark Howe (D),929.0,197.0,545.0,742.0,0.799,455.0,1979-1995,16.0,Mark Howe ,D)
212.0,Scott Niedermayer (D),1263.0,172.0,574.0,740.0,0.586,784.0,1991-2010,18.0,Scott Niedermayer ,D)
213.0,Miroslav Satan (RW),1050.0,363.0,372.0,735.0,0.7,464.0,1995-2010,14.0,Miroslav Satan ,RW)
